Abbreviation	Implementation	Full name	Group	Author
PD	Scikit-Clean			
MCS	Scikit-Clean			
IH	Scikit-Clean			
RkDN	Scikit-Clean			
FKDN	Scikit-Clean			
RFD	Scikit-Clean			
KDN	Scikit-Clean			
C45votingFilter	NoiseFiltersR			
ORBoostFilter	NoiseFiltersR			
CVCF	NoiseFiltersR			
C45iteratedVotingFilter	NoiseFiltersR			
IPF	NoiseFiltersR			
CNN	NoiseFiltersR			
C45robustFilter	NoiseFiltersR			
HARF	NoiseFiltersR			
BBNR	NoiseFiltersR			
CleanLab	CleanLab			
PRISM	NoiseFiltersR			
TomekLinks	NoiseFiltersR			
PF	NoiseFiltersR			
hybridRepairFilter	NoiseFiltersR			
dynamicCF	NoiseFiltersR			
INFFC	NoiseFiltersR			
DROP1	NoiseFiltersR			
EF	NoiseFiltersR			
DROP2	NoiseFiltersR			
GE	NoiseFiltersR			
DROP3	NoiseFiltersR			
consensusSF	NoiseFiltersR			
classifSF	NoiseFiltersR			
edgeBoostFilter	NoiseFiltersR			
AENN	NoiseFiltersR			
RNN	NoiseFiltersR			
ModeFilter	NoiseFiltersR			
ENG	NoiseFiltersR			
saturationFilter	NoiseFiltersR			
EWF	NoiseFiltersR			
