Abbreviation	Package	Full name	Group	Note	Description	Paper
AE	Tensorflow	Autoencoder	Single		 Autoencoder
ERL	GitHub	Early-Learning Regularization	Single		 Early-Learning Regularization Prevents Memorization of Noisy Labels (NeurIPS 2020)
PD	Scikit-Clean	Partitioning Detector	Ensemble	data variation	"Partitions dataset into n subsets, trains a classifier on each. Trained models are then used to predict on entire dataset.
"	Improving software quality prediction by noise filtering techniques.
MCS	Scikit-Clean	Markov Chain Sampling framework	Single		Detects noise using a sequential Markov Chain Monte Carlo sampling algorithm. Tested for binary classification, multi-class classification sometimes perform poorly.	 Classification with label noise: a markov chain sampling framework. 
IH	Scikit-Clean	Instance Hardness	Ensemble		A set of classifiers are used to predict labels of each sample using cross-validation. conf_score of a sample is percentage classifiers that correctly predict it’s label.	
RkDN	Scikit-Clean		Similarity		For each sample, the percentage of it’s nearest neighbors with same label serves as it’s conf_score. Euclidean distance is used to find the nearest neighbors.	
FKDN	Scikit-Clean		Similarity		"Like KDN, but a trained Random Forest is used to compute pairwise similarity.
Specifically, for a pair of samples, their similarity is the percentage of times they belong to the same leaf. "	
RFD	Scikit-Clean		Ensemble		Trains a Random Forest first- for each sample, only trees that didn’t select it for training (via bootstrapping) are used to predict it’s label. Percentage of trees that correctly predicted the label is the sample’s conf_score.	
KDN	Scikit-Clean		Similarity		For each sample, the percentage of it’s nearest neighbors with same label serves as it’s conf_score. Euclidean distance is used to find the nearest neighbors.	
C45votingFilter	NoiseFiltersR	C45-based voting Filter	Ensemble	data variation	"C45votingFilter splits the dataset into nfolds folds, building and testing a C4.5 tree on every
combination of nfolds-1 folds. Thus nfolds-1 votes are gathered for each instance. Removal is
carried out by majority or consensus voting schemes."	
ORBoostFilter	NoiseFiltersR	Outlier Removal Boosting Filter	Ensemble		"In general
terms, a weak classifier is built in each iteration, and misclassified instances have their weight
increased for the next round. Instances are removed when their weight exceeds the threshold d, i.e.
they have been misclassified in consecutive rounds"	
CVCF	NoiseFiltersR	Cross-Validated Committees Filter	Ensemble		"Dataset is split in
nfolds folds, a base classifiers (C4.5 in this implementation) is built over every combination of
nfolds-1 folds, and then tested on the whole dataset. Finally, consensus or majority voting scheme
is applied to remove noisy instances."	
C45iteratedVotingFilter	NoiseFiltersR	C45-based iterated Voting Filter	Ensemble	data variation	"C45iteratedVotingFilter somehow combines the two previous filter, since it iterates C45votingFilter
until no more noisy instances are removed."	
IPF	NoiseFiltersR	Iterative Partitioning Filter	Ensemble		"A base classifier
is built in each of the nfolds partitions of data. Then, they are tested in the whole dataset, and
the removal of noisy instances is decided via consensus or majority voting schemes. Finally, a
proportion of good instances (i.e. those whose label agrees with all the base classifiers) is stored
and removed for the next iteration. The process stops after s iterations with not enough (according
to the proportion p) noisy instances removed. In this implementation, the base classifier used is
C4.5."	
