['Adult', 'ERL', 0.9, 'Sym', 500, 0]	S	418	29	21	32	20.1577	0.9351	0.9289	0.932	{'beta': 0.6, 'plusLayers': 3, 'learningRate': 0.001, 'scaling': True, 'loss': 'ERL'}
['Adult', 'ERL', 0.9, 'Sym', 500, 1]	S	417	21	29	33	19.9864	0.9521	0.9267	0.9392	{'beta': 0.6, 'plusLayers': 3, 'learningRate': 0.001, 'scaling': True, 'loss': 'ERL'}
['Adult', 'ERL', 0.9, 'Sym', 500, 2]	S	431	27	23	19	17.7548	0.941	0.9578	0.9493	{'beta': 0.6, 'plusLayers': 3, 'learningRate': 0.001, 'scaling': True, 'loss': 'ERL'}
['Adult', 'ERL', 0.9, 'Sym', 500, 3]	S	404	30	20	46	18.8039	0.9309	0.8978	0.914	{'beta': 0.6, 'plusLayers': 3, 'learningRate': 0.001, 'scaling': True, 'loss': 'ERL'}
['Adult', 'ERL', 0.9, 'Sym', 500, 4]	S	409	32	18	41	15.4347	0.9274	0.9089	0.9181	{'beta': 0.6, 'plusLayers': 3, 'learningRate': 0.001, 'scaling': True, 'loss': 'ERL'}
['Adult', 'ERL', 0.9, 'Sym', 500, 5]	S	414	18	32	36	12.7588	0.9583	0.92	0.9388	{'beta': 0.6, 'plusLayers': 3, 'learningRate': 0.001, 'scaling': True, 'loss': 'ERL'}
['Adult', 'ERL', 0.9, 'Sym', 500, 6]	S	409	24	26	41	16.3782	0.9446	0.9089	0.9264	{'beta': 0.6, 'plusLayers': 3, 'learningRate': 0.001, 'scaling': True, 'loss': 'ERL'}
['Adult', 'ERL', 0.9, 'Sym', 500, 7]	S	414	27	23	36	17.0296	0.9388	0.92	0.9293	{'beta': 0.6, 'plusLayers': 3, 'learningRate': 0.001, 'scaling': True, 'loss': 'ERL'}
['Adult', 'ERL', 0.9, 'Sym', 500, 8]	S	419	29	21	31	16.5823	0.9353	0.9311	0.9332	{'beta': 0.6, 'plusLayers': 3, 'learningRate': 0.001, 'scaling': True, 'loss': 'ERL'}
['Adult', 'ERL', 0.9, 'Sym', 500, 9]	S	422	32	18	28	15.8139	0.9295	0.9378	0.9336	{'beta': 0.6, 'plusLayers': 3, 'learningRate': 0.001, 'scaling': True, 'loss': 'ERL'}
['Adult', 'ERL', 0.6, 'Asym', 100, 0]	S	53	3	37	7	11.7875	0.9464	0.8833	0.9138	{'beta': 0.6, 'plusLayers': 3, 'learningRate': 0.001, 'scaling': True, 'loss': 'ERL'}
['Adult', 'ERL', 0.6, 'Asym', 100, 1]	S	53	2	38	7	18.2696	0.9636	0.8833	0.9217	{'beta': 0.6, 'plusLayers': 3, 'learningRate': 0.001, 'scaling': True, 'loss': 'ERL'}
['Adult', 'ERL', 0.6, 'Asym', 100, 2]	S	53	7	33	7	11.3911	0.8833	0.8833	0.8833	{'beta': 0.6, 'plusLayers': 3, 'learningRate': 0.001, 'scaling': True, 'loss': 'ERL'}
['Adult', 'ERL', 0.6, 'Asym', 100, 3]	S	53	3	37	7	11.2788	0.9464	0.8833	0.9138	{'beta': 0.6, 'plusLayers': 3, 'learningRate': 0.001, 'scaling': True, 'loss': 'ERL'}
['Adult', 'ERL', 0.6, 'Asym', 100, 4]	S	57	3	37	3	11.5048	0.95	0.95	0.95	{'beta': 0.6, 'plusLayers': 3, 'learningRate': 0.001, 'scaling': True, 'loss': 'ERL'}
['Adult', 'ERL', 0.6, 'Asym', 100, 5]	S	53	3	37	7	11.4151	0.9464	0.8833	0.9138	{'beta': 0.6, 'plusLayers': 3, 'learningRate': 0.001, 'scaling': True, 'loss': 'ERL'}
['Adult', 'ERL', 0.6, 'Asym', 100, 6]	S	51	7	33	9	11.73	0.8793	0.85	0.8644	{'beta': 0.6, 'plusLayers': 3, 'learningRate': 0.001, 'scaling': True, 'loss': 'ERL'}
['Adult', 'ERL', 0.6, 'Asym', 100, 7]	S	49	3	37	11	13.1515	0.9423	0.8167	0.875	{'beta': 0.6, 'plusLayers': 3, 'learningRate': 0.001, 'scaling': True, 'loss': 'ERL'}
['Adult', 'ERL', 0.6, 'Asym', 100, 8]	S	55	5	35	5	11.4068	0.9167	0.9167	0.9167	{'beta': 0.6, 'plusLayers': 3, 'learningRate': 0.001, 'scaling': True, 'loss': 'ERL'}
['Adult', 'ERL', 0.6, 'Asym', 100, 9]	S	55	6	34	5	11.1601	0.9016	0.9167	0.9091	{'beta': 0.6, 'plusLayers': 3, 'learningRate': 0.001, 'scaling': True, 'loss': 'ERL'}
['Adult', 'ERL', 0.05, 'Sym', 100, 0]	S	3	5	90	2	15.8062	0.375	0.6	0.4615	{'beta': 0.6, 'plusLayers': 3, 'learningRate': 0.001, 'scaling': True, 'loss': 'ERL'}
['Adult', 'ERL', 0.05, 'Sym', 100, 1]	S	4	4	91	1	12.1874	0.5	0.8	0.6154	{'beta': 0.6, 'plusLayers': 3, 'learningRate': 0.001, 'scaling': True, 'loss': 'ERL'}
['Adult', 'ERL', 0.05, 'Sym', 100, 2]	S	4	4	91	1	11.1002	0.5	0.8	0.6154	{'beta': 0.6, 'plusLayers': 3, 'learningRate': 0.001, 'scaling': True, 'loss': 'ERL'}
['Adult', 'ERL', 0.05, 'Sym', 100, 3]	S	4	4	91	1	11.8691	0.5	0.8	0.6154	{'beta': 0.6, 'plusLayers': 3, 'learningRate': 0.001, 'scaling': True, 'loss': 'ERL'}
['Adult', 'ERL', 0.05, 'Sym', 100, 4]	S	3	8	87	2	11.4275	0.2727	0.6	0.375	{'beta': 0.6, 'plusLayers': 3, 'learningRate': 0.001, 'scaling': True, 'loss': 'ERL'}
['Adult', 'ERL', 0.05, 'Sym', 100, 5]	S	4	3	92	1	12.7912	0.5714	0.8	0.6667	{'beta': 0.6, 'plusLayers': 3, 'learningRate': 0.001, 'scaling': True, 'loss': 'ERL'}
['Adult', 'ERL', 0.05, 'Sym', 100, 6]	S	4	5	90	1	11.9609	0.4444	0.8	0.5714	{'beta': 0.6, 'plusLayers': 3, 'learningRate': 0.001, 'scaling': True, 'loss': 'ERL'}
['Adult', 'ERL', 0.05, 'Sym', 100, 7]	S	4	9	86	1	10.8416	0.3077	0.8	0.4444	{'beta': 0.6, 'plusLayers': 3, 'learningRate': 0.001, 'scaling': True, 'loss': 'ERL'}
['Adult', 'ERL', 0.05, 'Sym', 100, 8]	S	5	7	88	0	11.6951	0.4167	1.0	0.5882	{'beta': 0.6, 'plusLayers': 3, 'learningRate': 0.001, 'scaling': True, 'loss': 'ERL'}
['Adult', 'ERL', 0.05, 'Sym', 100, 9]	S	4	4	91	1	12.7187	0.5	0.8	0.6154	{'beta': 0.6, 'plusLayers': 3, 'learningRate': 0.001, 'scaling': True, 'loss': 'ERL'}
['Adult', 'ERL', 0.7, 'Sym', 500, 0]	S	318	31	119	32	39.6273	0.9112	0.9086	0.9099	{'beta': 0.6, 'plusLayers': 3, 'learningRate': 0.001, 'scaling': True, 'loss': 'ERL'}
['Adult', 'ERL', 0.7, 'Sym', 500, 1]	S	320	46	104	30	47.4666	0.8743	0.9143	0.8939	{'beta': 0.6, 'plusLayers': 3, 'learningRate': 0.001, 'scaling': True, 'loss': 'ERL'}
['Adult', 'ERL', 0.7, 'Sym', 500, 2]	S	319	40	110	31	40.1934	0.8886	0.9114	0.8999	{'beta': 0.6, 'plusLayers': 3, 'learningRate': 0.001, 'scaling': True, 'loss': 'ERL'}
['Adult', 'ERL', 0.7, 'Sym', 500, 3]	S	325	54	96	25	45.7365	0.8575	0.9286	0.8916	{'beta': 0.6, 'plusLayers': 3, 'learningRate': 0.001, 'scaling': True, 'loss': 'ERL'}
['Adult', 'ERL', 0.7, 'Sym', 500, 4]	S	262	113	37	88	22.9882	0.6987	0.7486	0.7228	{'beta': 0.6, 'plusLayers': 3, 'learningRate': 0.001, 'scaling': True, 'loss': 'ERL'}
['Adult', 'ERL', 0.7, 'Sym', 500, 5]	S	329	51	99	21	34.6131	0.8658	0.94	0.9014	{'beta': 0.6, 'plusLayers': 3, 'learningRate': 0.001, 'scaling': True, 'loss': 'ERL'}
['Adult', 'ERL', 0.7, 'Sym', 500, 6]	S	316	65	85	34	42.4952	0.8294	0.9029	0.8646	{'beta': 0.6, 'plusLayers': 3, 'learningRate': 0.001, 'scaling': True, 'loss': 'ERL'}
['Adult', 'ERL', 0.7, 'Sym', 500, 7]	S	321	44	106	29	39.1371	0.8795	0.9171	0.8979	{'beta': 0.6, 'plusLayers': 3, 'learningRate': 0.001, 'scaling': True, 'loss': 'ERL'}
['Adult', 'ERL', 0.7, 'Sym', 500, 8]	S	319	42	108	31	34.5051	0.8837	0.9114	0.8973	{'beta': 0.6, 'plusLayers': 3, 'learningRate': 0.001, 'scaling': True, 'loss': 'ERL'}
['Adult', 'ERL', 0.7, 'Sym', 500, 9]	S	308	45	105	42	29.2042	0.8725	0.88	0.8762	{'beta': 0.6, 'plusLayers': 3, 'learningRate': 0.001, 'scaling': True, 'loss': 'ERL'}
