['Adult', 'KDN', 0.4, 'Asym', 3000, 0]	S	696	606	1194	504	0.2596	0.5346	0.58	0.5564	
['Adult', 'RFD', 0.3, 'Sym', 500, 0]	S	108	102	248	42	0.1808	0.5143	0.72	0.6	
['Adult', 'RFD', 0.4, 'Sym', 300, 0]	S	58	62	118	62	0.1651	0.4833	0.4833	0.4833	
['Adult', 'RFD', 0.4, 'Asym', 300, 0]	S	79	26	154	41	0.16	0.7524	0.6583	0.7022	
['Adult', 'RFD', 0.1, 'Asym', 1000, 0]	S	73	124	776	27	0.2153	0.3706	0.73	0.4916	
['Adult', 'FKDN', 0.4, 'Asym', 1000, 0]	S	198	100	500	202	0.3244	0.6644	0.495	0.5673	
['Adult', 'IH', 0.4, 'Asym', 1000, 0]	S	266	94	506	134	0.1558	0.7389	0.665	0.7	
['Adult', 'MCS', 0.3, 'Asym', 100, 0]	S	15	11	59	15	0.4523	0.5769	0.5	0.5357	
['Adult', 'RFD', 0.6, 'Sym', 3000, 0]	S	655	744	456	1145	0.5408	0.4682	0.3639	0.4095	
['Adult', 'RFD', 0.1, 'Sym', 3000, 0]	S	255	465	2235	45	0.5569	0.3542	0.85	0.5	
['Adult', 'PD', 0.05, 'Sym', 3000, 0]	S	123	450	2400	27	0.0288	0.2147	0.82	0.3402	
['Adult', 'FKDN', 0.7, 'Sym', 300, 0]	S	37	48	42	173	0.2155	0.4353	0.1762	0.2508	
['Adult', 'MCS', 0.2, 'Sym', 3000, 0]	S	457	503	1897	143	0.9966	0.476	0.7617	0.5859	
['Adult', 'PD', 0.3, 'Asym', 300, 0]	S	46	33	177	44	0.0144	0.5823	0.5111	0.5444	
['Adult', 'IH', 0.2, 'Asym', 300, 0]	S	41	50	190	19	0.0894	0.4505	0.6833	0.543	
['Adult', 'PD', 0.05, 'Asym', 3000, 0]	S	108	468	2382	42	0.0197	0.1875	0.72	0.2975	
['Adult', 'MCS', 0.05, 'Sym', 500, 0]	S	18	89	386	7	0.4919	0.1682	0.72	0.2727	
['Adult', 'RFD', 0.7, 'Sym', 100, 0]	S	23	23	7	47	0.1451	0.5	0.3286	0.3966	
['Adult', 'RkDN', 0.6, 'Asym', 300, 0]	S	73	44	76	107	0.0203	0.6239	0.4056	0.4916	
['Adult', 'KDN', 0.2, 'Sym', 500, 0]	S	68	125	275	32	0.0193	0.3523	0.68	0.4642	
['Adult', 'FKDN', 0.6, 'Asym', 3000, 0]	S	736	368	832	1064	0.9273	0.6667	0.4089	0.5069	
['Adult', 'RkDN', 0.1, 'Sym', 500, 0]	S	40	130	320	10	0.0192	0.2353	0.8	0.3636	
['Adult', 'KDN', 0.2, 'Asym', 500, 0]	S	57	126	274	43	0.0269	0.3115	0.57	0.4028	
['Adult', 'RkDN', 0.3, 'Asym', 3000, 0]	S	499	469	1631	401	0.2865	0.5155	0.5544	0.5343	
