['Adult', 'C45robustFilter', 0.7, 'Sym', 300, 0]	S	52	63	27	158	6.3105	0.4522	0.2476	0.32	
['Adult', 'C45iteratedVotingFilter', 0.1, 'Sym', 300, 0]	S	24	42	228	6	8.0984	0.3636	0.8	0.5	
['Adult', 'BBNR', 0.7, 'Asym', 300, 0]	S	79	30	60	131	11.4989	0.7248	0.3762	0.4953	
['Adult', 'AENN', 0.6, 'Asym', 300, 0]	S	101	52	68	79	24.5929	0.6601	0.5611	0.6066	
['Adult', 'C45iteratedVotingFilter', 0.2, 'Sym', 100, 0]	S	11	6	74	9	5.7021	0.6471	0.55	0.5946	
['Adult', 'CNN', 0.05, 'Sym', 100, 0]	S	0	50	45	5	6.1623	0.0	0.0	0.0	
['Adult', 'IPF', 0.3, 'Asym', 500, 0]	S	90	54	296	60	6.8535	0.625	0.6	0.6122	
['Adult', 'C45iteratedVotingFilter', 0.4, 'Asym', 500, 0]	S	101	33	267	99	7.9985	0.7537	0.505	0.6048	
['Adult', 'C45votingFilter', 0.3, 'Sym', 100, 0]	S	14	5	65	16	6.2123	0.7368	0.4667	0.5714	
['Adult', 'AENN', 0.7, 'Asym', 100, 0]	S	36	20	10	34	5.5116	0.6429	0.5143	0.5714	
['Adult', 'AENN', 0.05, 'Sym', 100, 0]	S	3	20	75	2	10.9713	0.1304	0.6	0.2143	
['Adult', 'CNN', 0.2, 'Asym', 300, 0]	S	12	120	120	48	12.6142	0.0909	0.2	0.125	
['Adult', 'CVCF', 0.7, 'Asym', 500, 0]	S	13	10	140	337	4.8337	0.5652	0.0371	0.0697	
['Adult', 'CVCF', 0.3, 'Sym', 100, 0]	S	4	3	67	26	5.433	0.5714	0.1333	0.2162	
['Adult', 'HARF', 0.05, 'Sym', 100, 0]	S	4	5	90	1	3.2827	0.4444	0.8	0.5714	
['Adult', 'HARF', 0.4, 'Asym', 500, 0]	S	46	7	293	154	5.1333	0.8679	0.23	0.3636	
['Adult', 'BBNR', 0.1, 'Sym', 100, 0]	S	5	17	73	5	5.0515	0.2273	0.5	0.3125	
['Adult', 'CNN', 0.4, 'Asym', 500, 0]	S	57	144	156	143	22.5799	0.2836	0.285	0.2843	
['Adult', 'AENN', 0.05, 'Asym', 100, 0]	S	1	24	71	4	10.477	0.04	0.2	0.0667	
['Adult', 'IPF', 0.1, 'Sym', 100, 0]	S	7	19	71	3	5.6974	0.2692	0.7	0.3889	
['Adult', 'HARF', 0.05, 'Asym', 100, 0]	S	1	10	85	4	2.668	0.0909	0.2	0.125	
['Adult', 'C45votingFilter', 0.5, 'Sym', 100, 0]	S	4	4	46	46	3.9395	0.5	0.08	0.1379	
['Adult', 'CVCF', 0.05, 'Asym', 500, 0]	S	16	28	447	9	5.975	0.3636	0.64	0.4638	
['Adult', 'BBNR', 0.3, 'Sym', 1000, 0]	S	138	135	565	162	30.8249	0.5055	0.46	0.4817	
['Adult', 'CVCF', 0.05, 'Sym', 1000, 0]	S	33	74	876	17	4.9962	0.3084	0.66	0.4204	
['Adult', 'C45robustFilter', 0.1, 'Sym', 100, 0]	S	3	10	80	7	3.6698	0.2308	0.3	0.2609	
['Adult', 'HARF', 0.2, 'Asym', 100, 0]	S	9	6	74	11	3.4732	0.6	0.45	0.5143	
['Adult', 'C45robustFilter', 0.1, 'Asym', 100, 0]	S	3	11	79	7	5.1199	0.2143	0.3	0.25	
['Adult', 'C45robustFilter', 0.5, 'Asym', 500, 0]	S	103	42	208	147	4.6562	0.7103	0.412	0.5215	
['Adult', 'AENN', 0.2, 'Sym', 500, 0]	S	69	147	253	31	33.6812	0.3194	0.69	0.4367	
['Adult', 'ORBoostFilter', 0.1, 'Asym', 500, 0]	N	0	0	450	50	8.2263	0.0	0.0	0.0	
['Adult', 'CVCF', 0.5, 'Sym', 100, 0]	S	4	5	45	46	6.121	0.4444	0.08	0.1356	
['Adult', 'CNN', 0.6, 'Asym', 500, 0]	S	103	85	115	197	31.1623	0.5479	0.3433	0.4221	
['Adult', 'BBNR', 0.1, 'Sym', 500, 0]	S	34	92	358	16	13.2486	0.2698	0.68	0.3864	
['Adult', 'AENN', 0.4, 'Sym', 1000, 0]	S	222	277	323	178	111.6568	0.4449	0.555	0.4939	
['Adult', 'HARF', 0.6, 'Asym', 500, 0]	S	28	8	192	272	7.0207	0.7778	0.0933	0.1667	
['Adult', 'CNN', 0.2, 'Sym', 100, 0]	S	1	35	45	19	7.0498	0.0278	0.05	0.0357	
['Adult', 'ORBoostFilter', 0.1, 'Sym', 1000, 0]	N	0	0	900	100	14.5501	0.0	0.0	0.0	
['Adult', 'C45iteratedVotingFilter', 0.6, 'Sym', 1000, 0]	S	147	254	146	453	20.5184	0.3666	0.245	0.2937	
['Adult', 'CNN', 0.2, 'Asym', 100, 0]	S	3	34	46	17	7.0472	0.0811	0.15	0.1053	
['Adult', 'ORBoostFilter', 0.2, 'Asym', 300, 0]	S	39	60	180	21	8.1322	0.3939	0.65	0.4906	
['Adult', 'CNN', 0.6, 'Sym', 1000, 0]	S	211	110	290	389	42.2792	0.6573	0.3517	0.4582	
['Adult', 'C45votingFilter', 0.2, 'Asym', 500, 0]	S	29	22	378	71	6.0027	0.5686	0.29	0.3841	
['Adult', 'C45iteratedVotingFilter', 0.1, 'Asym', 500, 0]	S	26	63	387	24	7.194	0.2921	0.52	0.3741	
['Adult', 'CVCF', 0.2, 'Asym', 500, 0]	S	28	9	391	72	5.4671	0.7568	0.28	0.4088	
['Adult', 'ORBoostFilter', 0.3, 'Asym', 500, 0]	S	96	88	262	54	8.1813	0.5217	0.64	0.5749	
['Adult', 'IPF', 0.3, 'Sym', 100, 0]	S	23	17	53	7	11.3564	0.575	0.7667	0.6571	
['Adult', 'CVCF', 0.2, 'Sym', 1000, 0]	S	91	36	764	109	5.354	0.7165	0.455	0.5566	
['Adult', 'CVCF', 0.7, 'Sym', 100, 0]	S	1	0	30	69	5.2277	1.0	0.0143	0.0282	
['Adult', 'C45robustFilter', 0.3, 'Sym', 100, 0]	S	9	11	59	21	5.2296	0.45	0.3	0.36	
['Adult', 'C45robustFilter', 0.7, 'Asym', 500, 0]	S	108	49	101	242	6.9253	0.6879	0.3086	0.426	
['Adult', 'C45iteratedVotingFilter', 0.1, 'Sym', 1000, 0]	S	74	105	795	26	12.6132	0.4134	0.74	0.5305	
['Adult', 'CVCF', 0.7, 'Asym', 100, 0]	S	3	5	25	67	3.7062	0.375	0.0429	0.0769	
['Adult', 'C45robustFilter', 0.3, 'Asym', 100, 0]	S	11	9	61	19	3.9178	0.55	0.3667	0.44	
['Adult', 'C45robustFilter', 0.05, 'Asym', 500, 0]	S	8	41	434	17	6.4555	0.1633	0.32	0.2162	
['Adult', 'C45votingFilter', 0.7, 'Sym', 100, 0]	S	4	9	21	66	4.9571	0.3077	0.0571	0.0964	
['Adult', 'IPF', 0.7, 'Asym', 500, 0]	S	120	93	57	230	8.6225	0.5634	0.3429	0.4263	
['Adult', 'C45votingFilter', 0.7, 'Asym', 100, 0]	S	4	1	29	66	4.1175	0.8	0.0571	0.1067	
['Adult', 'BBNR', 0.3, 'Asym', 100, 0]	S	18	5	65	12	5.24	0.7826	0.6	0.6792	
['Adult', 'IPF', 0.7, 'Sym', 1000, 0]	S	124	240	60	576	10.7105	0.3407	0.1771	0.2331	
['Adult', 'AENN', 0.6, 'Sym', 1000, 0]	S	293	224	176	307	118.4175	0.5667	0.4883	0.5246	
['Adult', 'CVCF', 0.05, 'Sym', 100, 0]	S	4	6	89	1	3.9111	0.4	0.8	0.5333	
['Adult', 'HARF', 0.4, 'Sym', 3000, 0]	S	209	41	1759	991	39.5267	0.836	0.1742	0.2883	
['Adult', 'HARF', 0.4, 'Asym', 100, 0]	S	16	0	60	24	3.4189	1.0	0.4	0.5714	
['Adult', 'CVCF', 0.05, 'Asym', 100, 0]	S	2	3	92	3	5.5031	0.4	0.4	0.4	
['Adult', 'IPF', 0.5, 'Sym', 100, 0]	S	34	19	31	16	9.804	0.6415	0.68	0.6602	
['Adult', 'CNN', 0.4, 'Sym', 100, 0]	S	10	12	48	30	7.3703	0.4545	0.25	0.3226	
['Adult', 'IPF', 0.05, 'Asym', 500, 0]	S	19	79	396	6	10.6102	0.1939	0.76	0.3089	
['Adult', 'AENN', 0.4, 'Asym', 100, 0]	S	26	23	37	14	8.3951	0.5306	0.65	0.5843	
['Adult', 'CNN', 0.4, 'Asym', 100, 0]	S	8	22	38	32	6.8422	0.2667	0.2	0.2286	
['Adult', 'IPF', 0.5, 'Asym', 100, 0]	S	35	11	39	15	11.1786	0.7609	0.7	0.7292	
['Adult', 'BBNR', 0.05, 'Sym', 1000, 0]	S	29	151	799	21	29.6646	0.1611	0.58	0.2522	
['Adult', 'C45iteratedVotingFilter', 0.6, 'Sym', 100, 0]	S	17	8	32	43	7.7735	0.68	0.2833	0.4	
['Adult', 'IPF', 0.1, 'Asym', 300, 0]	S	17	54	216	13	12.0746	0.2394	0.5667	0.3366	
['Adult', 'C45robustFilter', 0.5, 'Asym', 100, 0]	S	12	14	36	38	3.9037	0.4615	0.24	0.3158	
['Adult', 'C45iteratedVotingFilter', 0.3, 'Sym', 1000, 0]	S	222	113	587	78	15.7305	0.6627	0.74	0.6992	
['Adult', 'ORBoostFilter', 0.1, 'Sym', 3000, 0]	N	0	0	2700	300	76.4378	0.0	0.0	0.0	
['Adult', 'C45robustFilter', 0.6, 'Sym', 100, 0]	S	6	16	24	54	4.5331	0.2727	0.1	0.1463	
['Adult', 'C45votingFilter', 0.4, 'Asym', 500, 0]	S	38	12	288	162	6.8761	0.76	0.19	0.304	
['Adult', 'C45votingFilter', 0.4, 'Sym', 1000, 0]	S	78	35	565	322	6.686	0.6903	0.195	0.3041	
['Adult', 'CNN', 0.6, 'Asym', 100, 0]	S	10	15	25	50	6.3291	0.4	0.1667	0.2353	
['Adult', 'HARF', 0.4, 'Asym', 3000, 0]	S	261	62	1738	939	42.7307	0.808	0.2175	0.3427	
['Adult', 'AENN', 0.6, 'Asym', 100, 0]	S	37	28	12	23	8.2031	0.5692	0.6167	0.592	
['Adult', 'HARF', 0.1, 'Sym', 1000, 0]	S	67	62	838	33	12.2255	0.5194	0.67	0.5852	
['Adult', 'IPF', 0.2, 'Asym', 500, 0]	S	69	83	317	31	7.6649	0.4539	0.69	0.5476	
['Adult', 'C45votingFilter', 0.05, 'Sym', 3000, 0]	S	103	198	2652	47	10.516	0.3422	0.6867	0.4568	
['Adult', 'BBNR', 0.5, 'Asym', 100, 0]	S	23	13	37	27	5.0175	0.6389	0.46	0.5349	
