['Chess', 'CleanLab', 0.5, 'Asym', 100, 0]	S	23	18	32	27	0.4218	0.561	0.46	0.5055	
['Chess', 'CleanLab', 0.05, 'Sym', 3000, 0]	S	115	1322	1528	35	2.8134	0.08	0.7667	0.1449	
['Chess', 'CleanLab', 0.5, 'Asym', 3000, 0]	S	877	622	878	623	1.8743	0.5851	0.5847	0.5849	
['Chess', 'CleanLab', 0.05, 'Sym', 500, 0]	S	18	250	225	7	0.641	0.0672	0.72	0.1229	
['Chess', 'CleanLab', 0.2, 'Asym', 3000, 0]	S	402	1076	1324	198	2.4206	0.272	0.67	0.3869	
['Chess', 'CleanLab', 0.5, 'Sym', 500, 0]	S	155	126	124	95	0.5195	0.5516	0.62	0.5838	
['Chess', 'CleanLab', 0.5, 'Asym', 300, 0]	S	100	73	77	50	0.5994	0.578	0.6667	0.6192	
['Chess', 'CleanLab', 0.2, 'Sym', 500, 0]	S	73	194	206	27	0.8307	0.2734	0.73	0.3978	
['Chess', 'CleanLab', 0.7, 'Sym', 500, 0]	S	209	70	80	141	0.4473	0.7491	0.5971	0.6645	
['Chess', 'CleanLab', 0.6, 'Asym', 3000, 0]	S	1009	485	715	791	2.6309	0.6754	0.5606	0.6126	
['Chess', 'CleanLab', 0.4, 'Sym', 500, 0]	S	135	148	152	65	0.5267	0.477	0.675	0.559	
['Chess', 'CleanLab', 0.3, 'Sym', 1000, 0]	S	210	320	380	90	0.8382	0.3962	0.7	0.506	
['Chess', 'CleanLab', 0.4, 'Sym', 100, 0]	S	13	17	43	27	0.4199	0.4333	0.325	0.3714	
['Chess', 'CleanLab', 0.6, 'Sym', 500, 0]	S	190	106	94	110	0.7038	0.6419	0.6333	0.6376	
['Chess', 'CleanLab', 0.6, 'Sym', 100, 0]	S	25	15	25	35	0.4637	0.625	0.4167	0.5	
['Chess', 'CleanLab', 0.3, 'Asym', 500, 0]	S	112	161	189	38	0.5215	0.4103	0.7467	0.5296	
['Chess', 'CleanLab', 0.1, 'Sym', 100, 0]	S	6	27	63	4	0.5387	0.1818	0.6	0.2791	
['Chess', 'CleanLab', 0.05, 'Asym', 100, 0]	S	3	37	58	2	0.3341	0.075	0.6	0.1333	
['Chess', 'CleanLab', 0.3, 'Sym', 100, 0]	S	10	31	39	20	0.3068	0.2439	0.3333	0.2817	
['Chess', 'CleanLab', 0.3, 'Asym', 100, 0]	S	11	26	44	19	0.3268	0.2973	0.3667	0.3284	
['Chess', 'CleanLab', 0.05, 'Asym', 500, 0]	S	20	255	220	5	0.5957	0.0727	0.8	0.1333	
['Chess', 'CleanLab', 0.05, 'Sym', 1000, 0]	S	35	475	475	15	0.9691	0.0686	0.7	0.125	
['Chess', 'CleanLab', 0.7, 'Asym', 500, 0]	S	207	72	78	143	0.7116	0.7419	0.5914	0.6582	
['Chess', 'CleanLab', 0.5, 'Sym', 1000, 0]	S	310	231	269	190	0.7364	0.573	0.62	0.5956	
['Chess', 'CleanLab', 0.5, 'Asym', 500, 0]	S	164	120	130	86	0.4521	0.5775	0.656	0.6142	
['Chess', 'CleanLab', 0.1, 'Asym', 100, 0]	S	5	29	61	5	0.5308	0.1471	0.5	0.2273	
['Chess', 'CleanLab', 0.7, 'Sym', 1000, 0]	S	413	140	160	287	0.7042	0.7468	0.59	0.6592	
['Chess', 'CleanLab', 0.5, 'Sym', 100, 0]	S	15	19	31	35	0.4699	0.4412	0.3	0.3571	
['Chess', 'CleanLab', 0.2, 'Sym', 1000, 0]	S	144	372	428	56	0.8378	0.2791	0.72	0.4022	
['Chess', 'CleanLab', 0.1, 'Sym', 500, 0]	S	37	225	225	13	0.529	0.1412	0.74	0.2372	
['Chess', 'CleanLab', 0.3, 'Sym', 300, 0]	S	56	121	89	34	0.381	0.3164	0.6222	0.4195	
['Chess', 'CleanLab', 0.6, 'Asym', 500, 0]	S	198	91	109	102	0.4392	0.6851	0.66	0.6723	
['Chess', 'CleanLab', 0.1, 'Asym', 500, 0]	S	36	247	203	14	0.892	0.1272	0.72	0.2162	
['Chess', 'CleanLab', 0.05, 'Asym', 1000, 0]	S	38	460	490	12	0.9534	0.0763	0.76	0.1387	
['Chess', 'CleanLab', 0.1, 'Asym', 300, 0]	S	18	156	114	12	0.6638	0.1034	0.6	0.1765	
['Chess', 'CleanLab', 0.7, 'Sym', 100, 0]	S	25	8	22	45	0.4342	0.7576	0.3571	0.4854	
['Chess', 'CleanLab', 0.5, 'Asym', 1000, 0]	S	297	245	255	203	0.7828	0.548	0.594	0.5701	
['Chess', 'CleanLab', 0.2, 'Sym', 100, 0]	S	8	21	59	12	0.258	0.2759	0.4	0.3265	
['Chess', 'CleanLab', 0.4, 'Asym', 500, 0]	S	134	153	147	66	0.4668	0.4669	0.67	0.5503	
['Chess', 'CleanLab', 0.1, 'Asym', 3000, 0]	S	221	1212	1488	79	2.7186	0.1542	0.7367	0.255	
['Chess', 'CleanLab', 0.2, 'Asym', 500, 0]	S	64	201	199	36	0.5087	0.2415	0.64	0.3507	
['Chess', 'CleanLab', 0.05, 'Sym', 100, 0]	S	1	39	56	4	0.316	0.025	0.2	0.0444	
['Chess', 'CleanLab', 0.4, 'Asym', 3000, 0]	S	746	717	1083	454	2.8143	0.5099	0.6217	0.5603	
['Chess', 'CleanLab', 0.4, 'Sym', 1000, 0]	S	279	257	343	121	0.7351	0.5205	0.6975	0.5962	
['Chess', 'CleanLab', 0.7, 'Asym', 3000, 0]	S	1099	367	533	1001	1.5301	0.7497	0.5233	0.6164	
['Chess', 'CleanLab', 0.7, 'Sym', 3000, 0]	S	1114	358	542	986	1.5853	0.7568	0.5305	0.6237	
['Chess', 'CleanLab', 0.5, 'Sym', 300, 0]	S	90	80	70	60	0.3839	0.5294	0.6	0.5625	
['Chess', 'CleanLab', 0.3, 'Sym', 500, 0]	S	103	176	174	47	0.5259	0.3692	0.6867	0.4802	
['Chess', 'CleanLab', 0.2, 'Asym', 100, 0]	S	9	34	46	11	0.2712	0.2093	0.45	0.2857	
['Chess', 'CleanLab', 0.7, 'Asym', 100, 0]	S	22	6	24	48	0.2345	0.7857	0.3143	0.449	
['Chess', 'CleanLab', 0.3, 'Asym', 300, 0]	S	64	93	117	26	0.401	0.4076	0.7111	0.5182	
['Chess', 'CleanLab', 0.5, 'Sym', 3000, 0]	S	928	613	887	572	2.5647	0.6022	0.6187	0.6103	
['Chess', 'CleanLab', 0.05, 'Asym', 3000, 0]	S	113	1332	1518	37	2.7681	0.0782	0.7533	0.1417	
['Chess', 'CleanLab', 0.2, 'Asym', 300, 0]	S	37	128	112	23	0.6836	0.2242	0.6167	0.3289	
['Chess', 'CleanLab', 0.6, 'Sym', 3000, 0]	S	1092	479	721	708	2.6779	0.6951	0.6067	0.6479	
['Chess', 'CleanLab', 0.7, 'Sym', 300, 0]	S	133	51	39	77	0.5109	0.7228	0.6333	0.6751	
['Chess', 'CleanLab', 0.1, 'Sym', 1000, 0]	S	68	459	441	32	1.4405	0.129	0.68	0.2169	
['Chess', 'CleanLab', 0.2, 'Sym', 300, 0]	S	37	130	110	23	0.3865	0.2216	0.6167	0.326	
['Chess', 'CleanLab', 0.7, 'Asym', 300, 0]	S	126	51	39	84	0.3806	0.7119	0.6	0.6512	
['Chess', 'CleanLab', 0.1, 'Asym', 1000, 0]	S	70	429	471	30	0.8882	0.1403	0.7	0.2337	
['Chess', 'CleanLab', 0.6, 'Sym', 1000, 0]	S	370	177	223	230	0.6561	0.6764	0.6167	0.6452	
