['Chess', 'MCS', 0.05, 'Sym', 500, 0]	S	25	475	0	0	0.1267	0.05	1.0	0.0952	
['Chess', 'RFD', 0.4, 'Sym', 300, 0]	S	120	176	4	0	0.1873	0.4054	1.0	0.5769	
['Chess', 'IH', 0.4, 'Asym', 1000, 0]	S	393	554	46	7	0.7638	0.415	0.9825	0.5835	
['Chess', 'RFD', 0.6, 'Asym', 1000, 0]	S	596	392	8	4	0.2439	0.6032	0.9933	0.7506	
['Chess', 'RFD', 0.1, 'Sym', 3000, 0]	S	297	1943	757	3	0.3808	0.1326	0.99	0.2339	
['Chess', 'IH', 0.4, 'Sym', 3000, 0]	S	1198	1742	58	2	2.0436	0.4075	0.9983	0.5787	
['Chess', 'IH', 0.2, 'Sym', 300, 0]	S	59	230	10	1	0.7	0.2042	0.9833	0.3381	
['Chess', 'PD', 0.05, 'Sym', 3000, 0]	S	132	2021	829	18	0.0162	0.0613	0.88	0.1146	
['Chess', 'PD', 0.5, 'Sym', 3000, 0]	S	1424	1242	258	76	0.0236	0.5341	0.9493	0.6836	
['Chess', 'MCS', 0.05, 'Asym', 300, 0]	S	15	285	0	0	0.1783	0.05	1.0	0.0952	
['Chess', 'FKDN', 0.4, 'Asym', 1000, 0]	S	395	488	112	5	0.2884	0.4473	0.9875	0.6157	
['Chess', 'MCS', 0.2, 'Sym', 3000, 0]	S	556	1551	849	44	2.3215	0.2639	0.9267	0.4108	
['Chess', 'PD', 0.05, 'Asym', 3000, 0]	S	141	2361	489	9	0.0169	0.0564	0.94	0.1063	
['Chess', 'PD', 0.3, 'Sym', 500, 0]	S	145	298	52	5	0.0239	0.3273	0.9667	0.489	
['Chess', 'RkDN', 0.1, 'Asym', 300, 0]	S	27	226	44	3	0.02	0.1067	0.9	0.1908	
['Chess', 'MCS', 0.3, 'Asym', 100, 0]	S	30	70	0	0	0.0623	0.3	1.0	0.4615	
['Chess', 'IH', 0.7, 'Asym', 300, 0]	S	209	87	3	1	0.6103	0.7061	0.9952	0.8261	
['Chess', 'IH', 0.2, 'Asym', 300, 0]	S	60	230	10	0	0.4305	0.2069	1.0	0.3429	
['Chess', 'RkDN', 0.6, 'Asym', 300, 0]	S	170	112	8	10	0.0149	0.6028	0.9444	0.7359	
['Chess', 'RkDN', 0.3, 'Sym', 3000, 0]	S	865	1631	469	35	0.2736	0.3466	0.9611	0.5094	
['Chess', 'FKDN', 0.7, 'Sym', 300, 0]	S	191	84	6	19	0.2018	0.6945	0.9095	0.7876	
['Chess', 'PD', 0.7, 'Sym', 100, 0]	S	64	28	2	6	0.0177	0.6957	0.9143	0.7901	
['Chess', 'RkDN', 0.1, 'Sym', 500, 0]	S	49	368	82	1	0.0198	0.1175	0.98	0.2099	
['Chess', 'FKDN', 0.6, 'Asym', 3000, 0]	S	1752	1070	130	48	0.652	0.6208	0.9733	0.7581	
['Chess', 'RkDN', 0.6, 'Sym', 500, 0]	S	287	184	16	13	0.0257	0.6093	0.9567	0.7445	
['Chess', 'KDN', 0.2, 'Asym', 500, 0]	S	99	360	40	1	0.0177	0.2157	0.99	0.3542	
['Chess', 'KDN', 0.7, 'Sym', 500, 0]	S	349	147	3	1	0.0185	0.7036	0.9971	0.8251	
['Chess', 'KDN', 0.4, 'Asym', 3000, 0]	S	1178	1608	192	22	0.2441	0.4228	0.9817	0.5911	
['Chess', 'FKDN', 0.4, 'Sym', 500, 0]	S	192	253	47	8	0.1557	0.4315	0.96	0.5953	
['Chess', 'KDN', 0.5, 'Sym', 100, 0]	S	50	47	3	0	0.0106	0.5155	1.0	0.6803	
['Chess', 'MCS', 0.3, 'Sym', 1000, 0]	S	300	700	0	0	0.3093	0.3	1.0	0.4615	
['Chess', 'RkDN', 0.6, 'Asym', 1000, 0]	S	580	364	36	20	0.0551	0.6144	0.9667	0.7513	
['Chess', 'FKDN', 0.1, 'Sym', 3000, 0]	S	287	1597	1103	13	0.6599	0.1523	0.9567	0.2628	
['Chess', 'PD', 0.3, 'Asym', 1000, 0]	S	283	582	118	17	0.0185	0.3272	0.9433	0.4858	
['Chess', 'IH', 0.4, 'Asym', 300, 0]	S	119	173	7	1	0.6664	0.4075	0.9917	0.5777	
['Chess', 'MCS', 0.7, 'Asym', 300, 0]	S	210	90	0	0	0.1604	0.7	1.0	0.8235	
['Chess', 'PD', 0.2, 'Sym', 3000, 0]	S	542	1718	682	58	0.0248	0.2398	0.9033	0.379	
['Chess', 'RFD', 0.1, 'Sym', 300, 0]	S	30	253	17	0	0.2501	0.106	1.0	0.1917	
['Chess', 'MCS', 0.4, 'Sym', 3000, 0]	S	1099	1227	573	101	1.3687	0.4725	0.9158	0.6234	
['Chess', 'RFD', 0.6, 'Sym', 300, 0]	S	174	118	2	6	0.2323	0.5959	0.9667	0.7373	
['Chess', 'RFD', 0.3, 'Sym', 3000, 0]	S	888	1758	342	12	0.3914	0.3356	0.9867	0.5008	
['Chess', 'PD', 0.2, 'Asym', 3000, 0]	S	550	1753	647	50	0.0239	0.2388	0.9167	0.3789	
['Chess', 'RFD', 0.1, 'Asym', 300, 0]	S	30	249	21	0	0.2662	0.1075	1.0	0.1942	
['Chess', 'MCS', 0.6, 'Asym', 1000, 0]	S	597	396	4	3	0.6285	0.6012	0.995	0.7495	
['Chess', 'RkDN', 0.05, 'Asym', 3000, 0]	S	147	1873	977	3	0.3538	0.0728	0.98	0.1355	
['Chess', 'RkDN', 0.5, 'Asym', 3000, 0]	S	1443	1298	202	57	0.278	0.5265	0.962	0.6805	
['Chess', 'PD', 0.7, 'Asym', 3000, 0]	S	2013	743	157	87	0.0229	0.7304	0.9586	0.8291	
['Chess', 'PD', 0.05, 'Asym', 300, 0]	S	15	275	10	0	0.0132	0.0517	1.0	0.0984	
['Chess', 'PD', 0.5, 'Asym', 300, 0]	S	142	134	16	8	0.0203	0.5145	0.9467	0.6667	
['Chess', 'FKDN', 0.3, 'Asym', 3000, 0]	S	866	1465	635	34	0.6559	0.3715	0.9622	0.5361	
['Chess', 'MCS', 0.2, 'Asym', 300, 0]	S	60	240	0	0	0.0796	0.2	1.0	0.3333	
['Chess', 'PD', 0.05, 'Sym', 500, 0]	S	23	386	89	2	0.0153	0.0562	0.92	0.106	
['Chess', 'PD', 0.5, 'Sym', 500, 0]	S	245	245	5	5	0.0225	0.5	0.98	0.6622	
['Chess', 'IH', 0.1, 'Sym', 3000, 0]	S	299	2339	361	1	2.9141	0.1133	0.9967	0.2035	
['Chess', 'KDN', 0.1, 'Asym', 3000, 0]	S	296	2111	589	4	0.3031	0.123	0.9867	0.2187	
['Chess', 'FKDN', 0.4, 'Sym', 100, 0]	S	34	47	13	6	0.1883	0.4198	0.85	0.562	
['Chess', 'MCS', 0.2, 'Sym', 500, 0]	S	100	400	0	0	0.4618	0.2	1.0	0.3333	
['Chess', 'KDN', 0.7, 'Asym', 1000, 0]	S	693	286	14	7	0.0546	0.7079	0.99	0.8255	
['Chess', 'KDN', 0.4, 'Sym', 500, 0]	S	197	285	15	3	0.026	0.4087	0.985	0.5777	
['Chess', 'FKDN', 0.1, 'Sym', 500, 0]	S	48	304	146	2	0.2296	0.1364	0.96	0.2388	
['Chess', 'KDN', 0.6, 'Asym', 3000, 0]	S	1779	1125	75	21	0.3055	0.6126	0.9883	0.7564	
['Chess', 'KDN', 0.3, 'Sym', 300, 0]	S	87	191	19	3	0.0133	0.3129	0.9667	0.4728	
['Chess', 'KDN', 0.7, 'Sym', 100, 0]	S	69	30	0	1	0.015	0.697	0.9857	0.8166	
['Chess', 'RkDN', 0.3, 'Sym', 500, 0]	S	142	300	50	8	0.0274	0.3213	0.9467	0.4797	
['Chess', 'KDN', 0.2, 'Sym', 100, 0]	S	20	78	2	0	0.0143	0.2041	1.0	0.339	
['Chess', 'IH', 0.05, 'Asym', 300, 0]	S	15	257	28	0	0.7394	0.0551	1.0	0.1045	
['Chess', 'FKDN', 0.1, 'Asym', 500, 0]	S	45	312	138	5	0.1575	0.1261	0.9	0.2211	
['Chess', 'FKDN', 0.5, 'Sym', 1000, 0]	S	477	429	71	23	0.2001	0.5265	0.954	0.6785	
['Chess', 'RFD', 0.5, 'Asym', 1000, 0]	S	496	467	33	4	0.2269	0.5151	0.992	0.6781	
['Chess', 'MCS', 0.4, 'Asym', 300, 0]	S	120	180	0	0	0.1674	0.4	1.0	0.5714	
['Chess', 'RkDN', 0.7, 'Asym', 3000, 0]	S	2024	824	76	76	0.2768	0.7107	0.9638	0.8181	
['Chess', 'RFD', 0.3, 'Asym', 300, 0]	S	89	200	10	1	0.1624	0.308	0.9889	0.4697	
['Chess', 'IH', 0.6, 'Asym', 300, 0]	S	176	116	4	4	0.6059	0.6027	0.9778	0.7458	
['Chess', 'RFD', 0.5, 'Sym', 3000, 0]	S	1473	1326	174	27	0.5387	0.5263	0.982	0.6853	
['Chess', 'IH', 0.1, 'Asym', 300, 0]	S	29	261	9	1	0.6571	0.1	0.9667	0.1813	
['Chess', 'MCS', 0.6, 'Sym', 3000, 0]	S	1634	851	349	166	1.2684	0.6575	0.9078	0.7627	
['Chess', 'PD', 0.4, 'Asym', 3000, 0]	S	1129	1338	462	71	0.0234	0.4576	0.9408	0.6158	
['Chess', 'FKDN', 0.5, 'Asym', 1000, 0]	S	483	414	86	17	0.2074	0.5385	0.966	0.6915	
['Chess', 'IH', 0.1, 'Sym', 500, 0]	S	50	413	37	0	0.9291	0.108	1.0	0.1949	
['Chess', 'MCS', 0.6, 'Asym', 3000, 0]	S	1685	883	317	115	1.8008	0.6562	0.9361	0.7715	
['Chess', 'MCS', 0.1, 'Sym', 3000, 0]	S	278	1914	786	22	1.4528	0.1268	0.9267	0.2231	
['Chess', 'FKDN', 0.5, 'Asym', 3000, 0]	S	1444	1248	252	56	0.8462	0.5364	0.9627	0.6889	
['Chess', 'RkDN', 0.2, 'Asym', 3000, 0]	S	579	1781	619	21	0.2857	0.2453	0.965	0.3912	
['Chess', 'KDN', 0.7, 'Sym', 3000, 0]	S	2078	876	24	22	0.2395	0.7035	0.9895	0.8223	
['Chess', 'PD', 0.7, 'Sym', 500, 0]	S	334	144	6	16	0.0155	0.6987	0.9543	0.8068	
['Chess', 'FKDN', 0.6, 'Sym', 100, 0]	S	49	30	10	11	0.1228	0.6203	0.8167	0.705	
['Chess', 'KDN', 0.6, 'Asym', 500, 0]	S	299	198	2	1	0.0186	0.6016	0.9967	0.7503	
['Chess', 'FKDN', 0.3, 'Asym', 500, 0]	S	149	272	78	1	0.1568	0.3539	0.9933	0.5219	
['Chess', 'RkDN', 0.3, 'Sym', 100, 0]	S	28	66	4	2	0.0105	0.2979	0.9333	0.4516	
['Chess', 'FKDN', 0.05, 'Asym', 3000, 0]	S	145	1547	1303	5	0.6444	0.0857	0.9667	0.1574	
['Chess', 'PD', 0.2, 'Sym', 500, 0]	S	92	332	68	8	0.0147	0.217	0.92	0.3511	
['Chess', 'KDN', 0.1, 'Asym', 500, 0]	S	50	392	58	0	0.0182	0.1131	1.0	0.2033	
['Chess', 'FKDN', 0.1, 'Sym', 100, 0]	S	9	70	20	1	0.1257	0.1139	0.9	0.2022	
['Chess', 'PD', 0.4, 'Asym', 500, 0]	S	194	273	27	6	0.015	0.4154	0.97	0.5817	
['Chess', 'KDN', 0.4, 'Sym', 100, 0]	S	40	56	4	0	0.0101	0.4167	1.0	0.5882	
['Chess', 'FKDN', 0.2, 'Sym', 300, 0]	S	55	181	59	5	0.1399	0.2331	0.9167	0.3716	
['Chess', 'RFD', 0.2, 'Sym', 3000, 0]	S	592	1867	533	8	0.4285	0.2407	0.9867	0.3871	
['Chess', 'KDN', 0.2, 'Sym', 3000, 0]	S	586	1980	420	14	0.2421	0.2284	0.9767	0.3702	
['Chess', 'PD', 0.4, 'Sym', 1000, 0]	S	387	517	83	13	0.0279	0.4281	0.9675	0.5936	
['Chess', 'PD', 0.6, 'Asym', 3000, 0]	S	1746	1003	197	54	0.0166	0.6351	0.97	0.7676	
['Chess', 'PD', 0.4, 'Sym', 500, 0]	S	196	277	23	4	0.0214	0.4144	0.98	0.5825	
['Chess', 'IH', 0.5, 'Sym', 3000, 0]	S	1498	1475	25	2	1.9896	0.5039	0.9987	0.6698	
['Chess', 'MCS', 0.3, 'Asym', 3000, 0]	S	851	1661	439	49	1.6684	0.3388	0.9456	0.4988	
['Chess', 'IH', 0.05, 'Asym', 3000, 0]	S	150	2400	450	0	2.8246	0.0588	1.0	0.1111	
['Chess', 'IH', 0.3, 'Asym', 300, 0]	S	88	191	19	2	0.4322	0.3154	0.9778	0.477	
['Chess', 'RkDN', 0.7, 'Sym', 500, 0]	S	341	135	15	9	0.0185	0.7164	0.9743	0.8257	
['Chess', 'PD', 0.1, 'Asym', 3000, 0]	S	273	2013	687	27	0.0173	0.1194	0.91	0.2111	
['Chess', 'RkDN', 0.05, 'Sym', 100, 0]	S	5	85	10	0	0.011	0.0556	1.0	0.1053	
['Chess', 'RkDN', 0.2, 'Asym', 500, 0]	S	98	342	58	2	0.0198	0.2227	0.98	0.363	
['Chess', 'IH', 0.3, 'Sym', 500, 0]	S	147	336	14	3	0.8491	0.3043	0.98	0.4645	
['Chess', 'PD', 0.2, 'Sym', 100, 0]	S	16	63	17	4	0.0125	0.2025	0.8	0.3232	
['Chess', 'KDN', 0.6, 'Sym', 100, 0]	S	60	40	0	0	0.01	0.6	1.0	0.75	
['Chess', 'KDN', 0.3, 'Asym', 500, 0]	S	149	329	21	1	0.0267	0.3117	0.9933	0.4745	
['Chess', 'RkDN', 0.5, 'Sym', 100, 0]	S	49	43	7	1	0.0102	0.5326	0.98	0.6901	
['Chess', 'FKDN', 0.5, 'Asym', 500, 0]	S	234	203	47	16	0.1567	0.5355	0.936	0.6812	
['Chess', 'MCS', 0.7, 'Sym', 100, 0]	S	70	30	0	0	0.0387	0.7	1.0	0.8235	
['Chess', 'IH', 0.6, 'Sym', 1000, 0]	S	595	393	7	5	0.7006	0.6022	0.9917	0.7494	
['Chess', 'IH', 0.2, 'Asym', 3000, 0]	S	596	2145	255	4	3.5097	0.2174	0.9933	0.3568	
['Chess', 'IH', 0.7, 'Sym', 3000, 0]	S	2095	890	10	5	1.7527	0.7018	0.9976	0.824	
['Chess', 'MCS', 0.05, 'Asym', 3000, 0]	S	142	1894	956	8	1.6775	0.0697	0.9467	0.1299	
['Chess', 'RFD', 0.4, 'Sym', 3000, 0]	S	1183	1544	256	17	0.5208	0.4338	0.9858	0.6025	
['Chess', 'FKDN', 0.4, 'Sym', 1000, 0]	S	387	499	101	13	0.2024	0.4368	0.9675	0.6019	
['Chess', 'RkDN', 0.4, 'Asym', 500, 0]	S	190	267	33	10	0.0199	0.4158	0.95	0.5784	
['Chess', 'RFD', 0.4, 'Asym', 3000, 0]	S	1176	1548	252	24	0.3958	0.4317	0.98	0.5994	
['Chess', 'MCS', 0.1, 'Sym', 100, 0]	S	10	90	0	0	0.0685	0.1	1.0	0.1818	
['Chess', 'IH', 0.5, 'Asym', 300, 0]	S	149	145	5	1	0.6074	0.5068	0.9933	0.6712	
['Chess', 'RFD', 0.7, 'Asym', 300, 0]	S	210	90	0	0	0.1621	0.7	1.0	0.8235	
