['Chess', 'C45iteratedVotingFilter', 0.1, 'Sym', 300, 0]	S	26	141	129	4	10.4606	0.1557	0.8667	0.264	
['Chess', 'BBNR', 0.2, 'Asym', 1000, 0]	S	63	208	592	137	11.8654	0.2325	0.315	0.2675	
['Chess', 'AENN', 0.7, 'Sym', 100, 0]	S	62	26	4	8	3.0073	0.7045	0.8857	0.7848	
['Chess', 'C45votingFilter', 0.3, 'Sym', 100, 0]	S	10	20	50	20	3.5446	0.3333	0.3333	0.3333	
['Chess', 'CNN', 0.05, 'Sym', 100, 0]	S	0	13	82	5	3.1182	0.0	0.0	0.0	
['Chess', 'C45iteratedVotingFilter', 0.2, 'Sym', 100, 0]	S	17	46	34	3	5.4576	0.2698	0.85	0.4096	
['Chess', 'BBNR', 0.1, 'Asym', 300, 0]	S	12	84	186	18	3.9433	0.125	0.4	0.1905	
['Chess', 'C45votingFilter', 0.6, 'Sym', 1000, 0]	S	217	116	284	383	5.699	0.6517	0.3617	0.4652	
['Chess', 'IPF', 0.3, 'Asym', 500, 0]	S	144	299	51	6	9.1315	0.3251	0.96	0.4857	
['Chess', 'C45iteratedVotingFilter', 0.4, 'Asym', 500, 0]	S	169	162	138	31	9.1947	0.5106	0.845	0.6365	
['Chess', 'CVCF', 0.3, 'Sym', 100, 0]	S	13	14	56	17	3.7586	0.4815	0.4333	0.4561	
['Chess', 'CVCF', 0.5, 'Asym', 300, 0]	S	52	32	118	98	3.7918	0.619	0.3467	0.4444	
['Chess', 'CNN', 0.2, 'Asym', 300, 0]	S	2	32	208	58	4.183	0.0588	0.0333	0.0426	
['Chess', 'BBNR', 0.1, 'Sym', 100, 0]	S	7	27	63	3	3.7803	0.2059	0.7	0.3182	
['Chess', 'HARF', 0.05, 'Sym', 100, 0]	S	5	75	20	0	2.495	0.0625	1.0	0.1176	
['Chess', 'HARF', 0.4, 'Asym', 500, 0]	S	196	253	47	4	4.4473	0.4365	0.98	0.604	
['Chess', 'BBNR', 0.3, 'Asym', 500, 0]	S	49	81	269	101	5.4903	0.3769	0.3267	0.35	
['Chess', 'IPF', 0.1, 'Sym', 100, 0]	S	9	77	13	1	7.281	0.1047	0.9	0.1875	
['Chess', 'BBNR', 0.1, 'Asym', 100, 0]	S	1	28	62	9	2.9356	0.0345	0.1	0.0513	
['Chess', 'HARF', 0.4, 'Sym', 1000, 0]	S	389	479	121	11	5.4305	0.4482	0.9725	0.6136	
['Chess', 'CVCF', 0.05, 'Asym', 500, 0]	S	13	97	378	12	5.2833	0.1182	0.52	0.1926	
['Chess', 'AENN', 0.4, 'Asym', 500, 0]	S	171	243	57	29	9.4939	0.413	0.855	0.557	
['Chess', 'C45votingFilter', 0.5, 'Sym', 100, 0]	S	18	14	36	32	5.7927	0.5625	0.36	0.439	
['Chess', 'AENN', 0.4, 'Sym', 1000, 0]	S	349	456	144	51	15.694	0.4335	0.8725	0.5793	
['Chess', 'HARF', 0.2, 'Sym', 100, 0]	S	20	74	6	0	3.3517	0.2128	1.0	0.3509	
['Chess', 'C45robustFilter', 0.1, 'Sym', 100, 0]	S	7	42	48	3	3.6216	0.1429	0.7	0.2373	
['Chess', 'IPF', 0.5, 'Asym', 500, 0]	S	240	195	55	10	8.3718	0.5517	0.96	0.7007	
['Chess', 'HARF', 0.2, 'Asym', 100, 0]	S	18	55	25	2	3.3707	0.2466	0.9	0.3871	
['Chess', 'CVCF', 0.5, 'Sym', 100, 0]	S	15	18	32	35	3.4635	0.4545	0.3	0.3614	
['Chess', 'BBNR', 0.5, 'Asym', 500, 0]	S	60	47	203	190	5.6284	0.5607	0.24	0.3361	
['Chess', 'ORBoostFilter', 0.1, 'Asym', 500, 0]	F									
['Chess', 'C45iteratedVotingFilter', 0.6, 'Asym', 500, 0]	S	257	134	66	43	9.1575	0.6573	0.8567	0.7438	
['Chess', 'AENN', 0.2, 'Sym', 500, 0]	S	95	312	88	5	7.4441	0.2334	0.95	0.3748	
['Chess', 'C45robustFilter', 0.5, 'Sym', 1000, 0]	S	434	319	181	66	4.8138	0.5764	0.868	0.6927	
['Chess', 'HARF', 0.6, 'Asym', 500, 0]	S	294	178	22	6	4.5533	0.6229	0.98	0.7617	
['Chess', 'CNN', 0.2, 'Sym', 100, 0]	S	0	6	74	20	3.8668	0.0	0.0	0.0	
['Chess', 'AENN', 0.2, 'Sym', 100, 0]	S	16	60	20	4	4.5389	0.2105	0.8	0.3333	
['Chess', 'CNN', 0.6, 'Sym', 1000, 0]	S	35	42	358	565	14.3251	0.4545	0.0583	0.1034	
['Chess', 'HARF', 0.6, 'Sym', 1000, 0]	S	580	356	44	20	7.2742	0.6197	0.9667	0.7552	
['Chess', 'ORBoostFilter', 0.6, 'Sym', 100, 0]	S	20	11	29	40	2.974	0.6452	0.3333	0.4396	
['Chess', 'C45iteratedVotingFilter', 0.4, 'Sym', 100, 0]	S	26	31	29	14	4.68	0.4561	0.65	0.5361	
['Chess', 'AENN', 0.6, 'Asym', 500, 0]	S	261	170	30	39	6.9764	0.6056	0.87	0.7141	
['Chess', 'ORBoostFilter', 0.2, 'Asym', 300, 0]	S	18	95	145	42	5.7115	0.1593	0.3	0.2081	
['Chess', 'BBNR', 0.1, 'Sym', 500, 0]	S	21	122	328	29	8.2452	0.1469	0.42	0.2176	
['Chess', 'C45votingFilter', 0.2, 'Asym', 500, 0]	S	49	88	312	51	6.1092	0.3577	0.49	0.4135	
['Chess', 'CVCF', 0.5, 'Asym', 1000, 0]	S	221	111	389	279	6.4286	0.6657	0.442	0.5312	
['Chess', 'C45iteratedVotingFilter', 0.1, 'Asym', 500, 0]	S	39	213	237	11	6.2809	0.1548	0.78	0.2583	
['Chess', 'CVCF', 0.2, 'Asym', 500, 0]	S	48	74	326	52	5.4432	0.3934	0.48	0.4324	
['Chess', 'ORBoostFilter', 0.3, 'Asym', 500, 0]	S	41	83	267	109	6.2263	0.3306	0.2733	0.2993	
['Chess', 'IPF', 0.3, 'Sym', 100, 0]	S	25	58	12	5	6.6747	0.3012	0.8333	0.4425	
['Chess', 'AENN', 0.6, 'Sym', 1000, 0]	S	524	319	81	76	19.797	0.6216	0.8733	0.7263	
['Chess', 'CVCF', 0.2, 'Sym', 1000, 0]	S	110	134	666	90	5.6459	0.4508	0.55	0.4955	
['Chess', 'C45iteratedVotingFilter', 0.1, 'Sym', 1000, 0]	S	86	392	508	14	8.8021	0.1799	0.86	0.2976	
