['ClinVarArt', 'HARF', 0.2, 'Sym', 3000, 0]	F									
['ClinVarArt', 'CNN', 0.7, 'Sym', 500, 0]	F									
['ClinVarArt', 'AENN', 0.1, 'Asym', 300, 0]	F									
['ClinVarArt', 'C45votingFilter', 0.7, 'Asym', 500, 0]	S	233	91	59	117	4.0007	0.7191	0.6657	0.6914	
['ClinVarArt', 'CNN', 0.7, 'Sym', 300, 0]	F									
['ClinVarArt', 'ORBoostFilter', 0.3, 'Sym', 500, 0]	N	0	0	350	150	13.5405	0.0	0.0	0.0	
['ClinVarArt', 'ORBoostFilter', 0.5, 'Asym', 100, 0]	F									
['ClinVarArt', 'HARF', 0.1, 'Asym', 300, 0]	F									
['ClinVarArt', 'C45robustFilter', 0.1, 'Asym', 500, 0]	S	32	287	163	18	3.7595	0.1003	0.64	0.1734	
['ClinVarArt', 'C45iteratedVotingFilter', 0.6, 'Asym', 100, 0]	S	43	25	15	17	4.284	0.6324	0.7167	0.6719	
['ClinVarArt', 'CVCF', 0.2, 'Asym', 1000, 0]	S	125	498	302	75	10.1393	0.2006	0.625	0.3038	
['ClinVarArt', 'CNN', 0.7, 'Asym', 300, 0]	F									
['ClinVarArt', 'AENN', 0.1, 'Sym', 300, 0]	F									
['ClinVarArt', 'C45votingFilter', 0.6, 'Asym', 500, 0]	S	196	118	82	104	7.2447	0.6242	0.6533	0.6384	
['ClinVarArt', 'C45votingFilter', 0.7, 'Sym', 500, 0]	S	231	96	54	119	8.386	0.7064	0.66	0.6824	
['ClinVarArt', 'CVCF', 0.2, 'Sym', 1000, 0]	S	133	503	297	67	8.0209	0.2091	0.665	0.3182	
['ClinVarArt', 'ORBoostFilter', 0.7, 'Asym', 3000, 0]	S	762	353	547	1338	37.2854	0.6834	0.3629	0.474	
['ClinVarArt', 'ORBoostFilter', 0.3, 'Asym', 500, 0]	N	0	0	350	150	13.4025	0.0	0.0	0.0	
['ClinVarArt', 'CNN', 0.4, 'Sym', 100, 0]	F									
['ClinVarArt', 'AENN', 0.1, 'Asym', 100, 0]	F									
['ClinVarArt', 'C45votingFilter', 0.7, 'Asym', 300, 0]	S	138	64	26	72	3.6918	0.6832	0.6571	0.6699	
['ClinVarArt', 'ORBoostFilter', 0.5, 'Sym', 100, 0]	N	0	0	50	50	5.4308	0.0	0.0	0.0	
['ClinVarArt', 'C45iteratedVotingFilter', 0.6, 'Sym', 3000, 0]	S	1203	790	410	597	4.7558	0.6036	0.6683	0.6343	
['ClinVarArt', 'HARF', 0.4, 'Asym', 500, 0]	F									
['ClinVarArt', 'CVCF', 0.2, 'Asym', 500, 0]	S	67	258	142	33	5.6719	0.2062	0.67	0.3153	
['ClinVarArt', 'AENN', 0.1, 'Sym', 100, 0]	F									
['ClinVarArt', 'CNN', 0.7, 'Asym', 100, 0]	F									
['ClinVarArt', 'CVCF', 0.2, 'Sym', 500, 0]	S	70	261	139	30	4.0104	0.2115	0.7	0.3248	
['ClinVarArt', 'CVCF', 0.05, 'Sym', 3000, 0]	S	101	1806	1044	49	6.6337	0.053	0.6733	0.0982	
['ClinVarArt', 'ORBoostFilter', 0.7, 'Sym', 3000, 0]	F									
['ClinVarArt', 'ORBoostFilter', 0.4, 'Asym', 3000, 0]	N	0	0	1800	1200	34.5101	0.0	0.0	0.0	
['ClinVarArt', 'ORBoostFilter', 0.7, 'Asym', 1000, 0]	F									
['ClinVarArt', 'C45votingFilter', 0.7, 'Sym', 300, 0]	S	143	57	33	67	3.5743	0.715	0.681	0.6976	
['ClinVarArt', 'ORBoostFilter', 0.05, 'Sym', 100, 0]	N	0	0	95	5	3.9744	0.0	0.0	0.0	
['ClinVarArt', 'C45votingFilter', 0.6, 'Sym', 1000, 0]	S	407	235	165	193	3.8303	0.634	0.6783	0.6554	
['ClinVarArt', 'C45iteratedVotingFilter', 0.6, 'Sym', 300, 0]	S	121	78	42	59	4.2911	0.608	0.6722	0.6385	
['ClinVarArt', 'AENN', 0.6, 'Sym', 3000, 0]	F									
['ClinVarArt', 'ORBoostFilter', 0.4, 'Sym', 3000, 0]	S	416	647	1153	784	45.1906	0.3913	0.3467	0.3677	
['ClinVarArt', 'CVCF', 0.2, 'Asym', 300, 0]	S	41	161	79	19	8.2451	0.203	0.6833	0.313	
['ClinVarArt', 'C45iteratedVotingFilter', 0.6, 'Sym', 100, 0]	S	37	22	18	23	8.6041	0.6271	0.6167	0.6218	
['ClinVarArt', 'BBNR', 0.6, 'Asym', 3000, 0]	F									
['ClinVarArt', 'ORBoostFilter', 0.7, 'Sym', 1000, 0]	S	248	104	196	452	22.5338	0.7045	0.3543	0.4715	
['ClinVarArt', 'HARF', 0.2, 'Asym', 1000, 0]	F									
['ClinVarArt', 'CNN', 0.6, 'Asym', 3000, 0]	F									
['ClinVarArt', 'AENN', 0.5, 'Sym', 1000, 0]	F									
['ClinVarArt', 'CNN', 0.7, 'Sym', 100, 0]	F									
['ClinVarArt', 'CNN', 0.4, 'Asym', 100, 0]	F									
['ClinVarArt', 'C45votingFilter', 0.7, 'Sym', 100, 0]	S	49	18	12	21	3.6323	0.7313	0.7	0.7153	
['ClinVarArt', 'C45votingFilter', 0.7, 'Asym', 100, 0]	S	51	22	8	19	3.9227	0.6986	0.7286	0.7133	
['ClinVarArt', 'AENN', 0.05, 'Asym', 3000, 0]	F									
['ClinVarArt', 'ORBoostFilter', 0.7, 'Sym', 500, 0]	N	0	0	150	350	7.9126	0.0	0.0	0.0	
['ClinVarArt', 'C45robustFilter', 0.1, 'Sym', 500, 0]	S	31	277	173	19	5.0369	0.1006	0.62	0.1732	
['ClinVarArt', 'ORBoostFilter', 0.7, 'Asym', 500, 0]	N	0	0	150	350	11.4766	0.0	0.0	0.0	
['ClinVarArt', 'CVCF', 0.05, 'Asym', 300, 0]	S	8	183	102	7	5.1682	0.0419	0.5333	0.0777	
['ClinVarArt', 'BBNR', 0.1, 'Asym', 300, 0]	F									
['ClinVarArt', 'ORBoostFilter', 0.4, 'Asym', 1000, 0]	N	0	0	600	400	14.4395	0.0	0.0	0.0	
['ClinVarArt', 'C45votingFilter', 0.6, 'Sym', 500, 0]	S	195	127	73	105	7.3464	0.6056	0.65	0.627	
['ClinVarArt', 'ORBoostFilter', 0.5, 'Sym', 1000, 0]	S	216	132	368	284	15.4091	0.6207	0.432	0.5094	
['ClinVarArt', 'ORBoostFilter', 0.4, 'Sym', 1000, 0]	F									
['ClinVarArt', 'ORBoostFilter', 0.5, 'Asym', 500, 0]	S	103	83	167	147	7.8308	0.5538	0.412	0.4725	
['ClinVarArt', 'BBNR', 0.3, 'Sym', 300, 0]	F									
['ClinVarArt', 'AENN', 0.05, 'Sym', 3000, 0]	F									
['ClinVarArt', 'C45votingFilter', 0.7, 'Asym', 3000, 0]	S	1392	555	345	708	6.6138	0.7149	0.6629	0.6879	
['ClinVarArt', 'CVCF', 0.2, 'Asym', 100, 0]	S	14	53	27	6	3.8443	0.209	0.7	0.3218	
['ClinVarArt', 'ORBoostFilter', 0.3, 'Sym', 1000, 0]	N	0	0	700	300	23.217	0.0	0.0	0.0	
['ClinVarArt', 'BBNR', 0.3, 'Asym', 300, 0]	F									
['ClinVarArt', 'BBNR', 0.7, 'Asym', 300, 0]	F									
['ClinVarArt', 'AENN', 0.05, 'Asym', 1000, 0]	F									
['ClinVarArt', 'C45iteratedVotingFilter', 0.6, 'Asym', 300, 0]	S	122	74	46	58	4.1374	0.6224	0.6778	0.6489	
['ClinVarArt', 'CNN', 0.4, 'Sym', 300, 0]	F									
['ClinVarArt', 'ORBoostFilter', 0.7, 'Asym', 300, 0]	N	0	0	90	210	6.0426	0.0	0.0	0.0	
['ClinVarArt', 'BBNR', 0.3, 'Sym', 500, 0]	F									
['ClinVarArt', 'C45robustFilter', 0.3, 'Sym', 100, 0]	S	19	43	27	11	4.5533	0.3065	0.6333	0.413	
['ClinVarArt', 'CNN', 0.6, 'Sym', 3000, 0]	F									
['ClinVarArt', 'C45votingFilter', 0.6, 'Asym', 1000, 0]	S	392	237	163	208	5.2384	0.6232	0.6533	0.6379	
['ClinVarArt', 'BBNR', 0.3, 'Asym', 500, 0]	F									
['ClinVarArt', 'AENN', 0.5, 'Asym', 1000, 0]	F									
['ClinVarArt', 'C45votingFilter', 0.6, 'Asym', 3000, 0]	S	1185	727	473	615	6.2767	0.6198	0.6583	0.6385	
['ClinVarArt', 'BBNR', 0.7, 'Sym', 100, 0]	F									
['ClinVarArt', 'ORBoostFilter', 0.3, 'Asym', 300, 0]	N	0	0	210	90	9.2118	0.0	0.0	0.0	
['ClinVarArt', 'ORBoostFilter', 0.4, 'Asym', 500, 0]	N	0	0	300	200	10.128	0.0	0.0	0.0	
['ClinVarArt', 'BBNR', 0.3, 'Asym', 100, 0]	F									
['ClinVarArt', 'CVCF', 0.2, 'Sym', 300, 0]	S	40	147	93	20	4.5708	0.2139	0.6667	0.3239	
['ClinVarArt', 'CVCF', 0.05, 'Sym', 500, 0]	S	13	321	154	12	4.6407	0.0389	0.52	0.0724	
['ClinVarArt', 'BBNR', 0.5, 'Sym', 500, 0]	F									
['ClinVarArt', 'C45robustFilter', 0.5, 'Sym', 100, 0]	S	38	22	28	12	4.554	0.6333	0.76	0.6909	
['ClinVarArt', 'C45robustFilter', 0.4, 'Asym', 3000, 0]	S	788	1113	687	412	5.9765	0.4145	0.6567	0.5082	
['ClinVarArt', 'HARF', 0.3, 'Asym', 100, 0]	F									
['ClinVarArt', 'BBNR', 0.3, 'Asym', 1000, 0]	F									
['ClinVarArt', 'C45votingFilter', 0.6, 'Asym', 300, 0]	S	132	81	39	48	3.9758	0.6197	0.7333	0.6718	
['ClinVarArt', 'C45robustFilter', 0.4, 'Sym', 3000, 0]	S	810	1131	669	390	4.1047	0.4173	0.675	0.5158	
['ClinVarArt', 'BBNR', 0.1, 'Sym', 500, 0]	F									
['ClinVarArt', 'BBNR', 0.3, 'Sym', 1000, 0]	F									
['ClinVarArt', 'C45votingFilter', 0.6, 'Sym', 3000, 0]	S	1224	775	425	576	6.1569	0.6123	0.68	0.6444	
['ClinVarArt', 'IPF', 0.3, 'Sym', 1000, 0]	S	206	481	219	94	7.6993	0.2999	0.6867	0.4174	
['ClinVarArt', 'C45iteratedVotingFilter', 0.6, 'Sym', 500, 0]	S	202	126	74	98	5.7018	0.6159	0.6733	0.6433	
['ClinVarArt', 'C45robustFilter', 0.1, 'Asym', 300, 0]	S	23	172	98	7	4.8616	0.1179	0.7667	0.2044	
['ClinVarArt', 'ORBoostFilter', 0.1, 'Asym', 1000, 0]	N	0	0	900	100	13.4798	0.0	0.0	0.0	
['ClinVarArt', 'ORBoostFilter', 0.3, 'Asym', 1000, 0]	N	0	0	700	300	22.9263	0.0	0.0	0.0	
['ClinVarArt', 'BBNR', 0.05, 'Asym', 300, 0]	F									
['ClinVarArt', 'C45robustFilter', 0.4, 'Asym', 1000, 0]	S	251	379	221	149	3.6937	0.3984	0.6275	0.4874	
['ClinVarArt', 'CNN', 0.1, 'Sym', 300, 0]	F									
['ClinVarArt', 'BBNR', 0.5, 'Asym', 3000, 0]	F									
['ClinVarArt', 'CNN', 0.1, 'Asym', 300, 0]	F									
['ClinVarArt', 'C45votingFilter', 0.4, 'Sym', 300, 0]	S	83	120	60	37	3.7146	0.4089	0.6917	0.5139	
['ClinVarArt', 'C45votingFilter', 0.05, 'Sym', 1000, 0]	S	33	607	343	17	4.1396	0.0516	0.66	0.0957	
['ClinVarArt', 'CNN', 0.1, 'Sym', 500, 0]	F									
['ClinVarArt', 'BBNR', 0.05, 'Sym', 500, 0]	F									
['ClinVarArt', 'IPF', 0.3, 'Asym', 1000, 0]	S	208	418	282	92	5.0593	0.3323	0.6933	0.4492	
['ClinVarArt', 'IPF', 0.6, 'Asym', 500, 0]	S	213	127	73	87	4.9598	0.6265	0.71	0.6656	
['ClinVarArt', 'C45votingFilter', 0.4, 'Asym', 100, 0]	S	28	37	23	12	5.2265	0.4308	0.7	0.5333	
['ClinVarArt', 'C45robustFilter', 0.4, 'Sym', 1000, 0]	S	275	370	230	125	5.9075	0.4264	0.6875	0.5263	
['ClinVarArt', 'AENN', 0.5, 'Sym', 3000, 0]	F									
['ClinVarArt', 'C45votingFilter', 0.05, 'Asym', 1000, 0]	S	33	598	352	17	5.6117	0.0523	0.66	0.0969	
['ClinVarArt', 'IPF', 0.6, 'Sym', 500, 0]	S	185	135	65	115	7.226	0.5781	0.6167	0.5968	
['ClinVarArt', 'ORBoostFilter', 0.3, 'Sym', 300, 0]	N	0	0	210	90	7.9573	0.0	0.0	0.0	
['ClinVarArt', 'BBNR', 0.6, 'Sym', 100, 0]	F									
['ClinVarArt', 'CNN', 0.4, 'Asym', 300, 0]	F									
['ClinVarArt', 'ORBoostFilter', 0.1, 'Sym', 3000, 0]	N	0	0	2700	300	35.4639	0.0	0.0	0.0	
['ClinVarArt', 'BBNR', 0.7, 'Asym', 100, 0]	F									
['ClinVarArt', 'HARF', 0.2, 'Asym', 3000, 0]	F									
['ClinVarArt', 'BBNR', 0.6, 'Asym', 100, 0]	F									
['ClinVarArt', 'C45iteratedVotingFilter', 0.3, 'Sym', 300, 0]	S	57	130	80	33	4.0753	0.3048	0.6333	0.4116	
['ClinVarArt', 'BBNR', 0.1, 'Asym', 500, 0]	F									
['ClinVarArt', 'ORBoostFilter', 0.05, 'Asym', 100, 0]	S	2	36	59	3	3.6917	0.0526	0.4	0.093	
['ClinVarArt', 'C45votingFilter', 0.4, 'Asym', 300, 0]	S	78	116	64	42	3.6448	0.4021	0.65	0.4968	
['ClinVarArt', 'CVCF', 0.05, 'Asym', 500, 0]	S	16	307	168	9	4.248	0.0495	0.64	0.092	
['ClinVarArt', 'ORBoostFilter', 0.5, 'Asym', 1000, 0]	N	0	0	500	500	13.7321	0.0	0.0	0.0	
['ClinVarArt', 'HARF', 0.3, 'Sym', 100, 0]	F									
['ClinVarArt', 'C45robustFilter', 0.4, 'Asym', 500, 0]	S	128	188	112	72	4.6714	0.4051	0.64	0.4961	
['ClinVarArt', 'BBNR', 0.6, 'Sym', 300, 0]	F									
['ClinVarArt', 'ORBoostFilter', 0.2, 'Sym', 100, 0]	N	0	0	80	20	4.3664	0.0	0.0	0.0	
['ClinVarArt', 'C45robustFilter', 0.3, 'Asym', 100, 0]	S	22	41	29	8	4.9524	0.3492	0.7333	0.4731	
['ClinVarArt', 'C45robustFilter', 0.4, 'Sym', 500, 0]	S	128	185	115	72	3.5425	0.4089	0.64	0.499	
['ClinVarArt', 'C45votingFilter', 0.05, 'Sym', 3000, 0]	S	103	1802	1048	47	6.019	0.0541	0.6867	0.1002	
['ClinVarArt', 'C45votingFilter', 0.4, 'Sym', 500, 0]	S	133	188	112	67	4.0477	0.4143	0.665	0.5106	
['ClinVarArt', 'IPF', 0.6, 'Sym', 1000, 0]	S	401	257	143	199	6.972	0.6094	0.6683	0.6375	
['ClinVarArt', 'IPF', 0.3, 'Sym', 3000, 0]	S	580	1345	755	320	8.0517	0.3013	0.6444	0.4106	
['ClinVarArt', 'C45votingFilter', 0.4, 'Asym', 500, 0]	S	138	178	122	62	3.858	0.4367	0.69	0.5349	
['ClinVarArt', 'C45votingFilter', 0.1, 'Sym', 100, 0]	S	5	56	34	5	3.5181	0.082	0.5	0.1408	
['ClinVarArt', 'CNN', 0.1, 'Asym', 500, 0]	F									
['ClinVarArt', 'BBNR', 0.05, 'Sym', 1000, 0]	F									
['ClinVarArt', 'BBNR', 0.05, 'Asym', 500, 0]	F									
['ClinVarArt', 'IPF', 0.6, 'Asym', 1000, 0]	S	392	237	163	208	7.1746	0.6232	0.6533	0.6379	
['ClinVarArt', 'ORBoostFilter', 0.1, 'Asym', 3000, 0]	N	0	0	2700	300	35.4119	0.0	0.0	0.0	
['ClinVarArt', 'C45votingFilter', 0.05, 'Asym', 3000, 0]	S	97	1801	1049	53	5.4914	0.0511	0.6467	0.0947	
['ClinVarArt', 'BBNR', 0.6, 'Asym', 300, 0]	F									
['ClinVarArt', 'HARF', 0.1, 'Asym', 1000, 0]	F									
['ClinVarArt', 'CNN', 0.4, 'Sym', 1000, 0]	F									
['ClinVarArt', 'HARF', 0.3, 'Sym', 300, 0]	F									
['ClinVarArt', 'C45robustFilter', 0.1, 'Sym', 300, 0]	S	18	174	96	12	4.5458	0.0938	0.6	0.1622	
['ClinVarArt', 'IPF', 0.4, 'Sym', 100, 0]	S	26	39	21	14	4.4569	0.4	0.65	0.4952	
['ClinVarArt', 'C45votingFilter', 0.6, 'Sym', 300, 0]	S	133	77	43	47	4.4526	0.6333	0.7389	0.6821	
['ClinVarArt', 'ORBoostFilter', 0.2, 'Asym', 100, 0]	N	0	0	80	20	3.716	0.0	0.0	0.0	
['ClinVarArt', 'BBNR', 0.05, 'Asym', 1000, 0]	F									
['ClinVarArt', 'BBNR', 0.6, 'Sym', 500, 0]	F									
['ClinVarArt', 'IPF', 0.3, 'Asym', 3000, 0]	S	569	1323	777	331	6.1273	0.3007	0.6322	0.4076	
['ClinVarArt', 'CNN', 0.1, 'Sym', 1000, 0]	F									
