['ClinVarReal', 'ERL', 0.6, 'Real', 1000, 0]	S	487	127	273	113	28.4717	0.7932	0.8117	0.8023	{'beta': 0.6, 'plusLayers': 3, 'learningRate': 0.001, 'scaling': True, 'loss': 'ERL'}
['ClinVarReal', 'ERL', 0.6, 'Real', 1000, 1]	S	502	133	267	98	30.7565	0.7906	0.8367	0.813	{'beta': 0.6, 'plusLayers': 3, 'learningRate': 0.001, 'scaling': True, 'loss': 'ERL'}
['ClinVarReal', 'ERL', 0.6, 'Real', 1000, 2]	S	455	184	216	145	24.717	0.7121	0.7583	0.7345	{'beta': 0.6, 'plusLayers': 3, 'learningRate': 0.001, 'scaling': True, 'loss': 'ERL'}
['ClinVarReal', 'ERL', 0.6, 'Real', 1000, 3]	S	528	148	252	72	39.3979	0.7811	0.88	0.8276	{'beta': 0.6, 'plusLayers': 3, 'learningRate': 0.001, 'scaling': True, 'loss': 'ERL'}
['ClinVarReal', 'ERL', 0.6, 'Real', 1000, 4]	S	513	163	237	87	20.7327	0.7589	0.855	0.8041	{'beta': 0.6, 'plusLayers': 3, 'learningRate': 0.001, 'scaling': True, 'loss': 'ERL'}
['ClinVarReal', 'ERL', 0.6, 'Real', 1000, 5]	S	510	99	301	90	43.6456	0.8374	0.85	0.8437	{'beta': 0.6, 'plusLayers': 3, 'learningRate': 0.001, 'scaling': True, 'loss': 'ERL'}
['ClinVarReal', 'ERL', 0.6, 'Real', 1000, 6]	S	511	136	264	89	45.2005	0.7898	0.8517	0.8196	{'beta': 0.6, 'plusLayers': 3, 'learningRate': 0.001, 'scaling': True, 'loss': 'ERL'}
['ClinVarReal', 'ERL', 0.6, 'Real', 1000, 7]	S	508	155	245	92	31.2832	0.7662	0.8467	0.8044	{'beta': 0.6, 'plusLayers': 3, 'learningRate': 0.001, 'scaling': True, 'loss': 'ERL'}
['ClinVarReal', 'ERL', 0.6, 'Real', 1000, 8]	S	518	137	263	82	26.1986	0.7908	0.8633	0.8255	{'beta': 0.6, 'plusLayers': 3, 'learningRate': 0.001, 'scaling': True, 'loss': 'ERL'}
['ClinVarReal', 'ERL', 0.6, 'Real', 1000, 9]	S	516	180	220	84	27.9161	0.7414	0.86	0.7963	{'beta': 0.6, 'plusLayers': 3, 'learningRate': 0.001, 'scaling': True, 'loss': 'ERL'}
['ClinVarReal', 'ERL', 0.4, 'Real', 300, 0]	S	104	55	125	16	35.2526	0.6541	0.8667	0.7455	{'beta': 0.6, 'plusLayers': 3, 'learningRate': 0.001, 'scaling': True, 'loss': 'ERL'}
['ClinVarReal', 'ERL', 0.4, 'Real', 300, 1]	S	100	27	153	20	38.1392	0.7874	0.8333	0.8097	{'beta': 0.6, 'plusLayers': 3, 'learningRate': 0.001, 'scaling': True, 'loss': 'ERL'}
['ClinVarReal', 'ERL', 0.4, 'Real', 300, 2]	S	107	29	151	13	42.3242	0.7868	0.8917	0.8359	{'beta': 0.6, 'plusLayers': 3, 'learningRate': 0.001, 'scaling': True, 'loss': 'ERL'}
['ClinVarReal', 'ERL', 0.4, 'Real', 300, 3]	S	106	38	142	14	45.3373	0.7361	0.8833	0.803	{'beta': 0.6, 'plusLayers': 3, 'learningRate': 0.001, 'scaling': True, 'loss': 'ERL'}
['ClinVarReal', 'ERL', 0.4, 'Real', 300, 4]	S	105	65	115	15	46.1395	0.6176	0.875	0.7241	{'beta': 0.6, 'plusLayers': 3, 'learningRate': 0.001, 'scaling': True, 'loss': 'ERL'}
