['ClinVarReal', 'BBNR', 0.6, 'Real', 500, 0]	F									
['ClinVarReal', 'C45robustFilter', 0.4, 'Real', 500, 0]	S	149	209	91	51	7.535	0.4162	0.745	0.5341	
['ClinVarReal', 'C45robustFilter', 0.5, 'Real', 300, 0]	S	120	114	36	30	3.4624	0.5128	0.8	0.625	
['ClinVarReal', 'C45votingFilter', 0.7, 'Real', 100, 0]	S	62	21	9	8	3.6506	0.747	0.8857	0.8105	
['ClinVarReal', 'C45robustFilter', 0.5, 'Real', 100, 0]	S	37	38	12	13	6.1028	0.4933	0.74	0.592	
['ClinVarReal', 'C45votingFilter', 0.6, 'Real', 3000, 0]	S	1459	969	231	341	6.9494	0.6009	0.8106	0.6902	
['ClinVarReal', 'C45votingFilter', 0.6, 'Real', 300, 0]	S	139	95	25	41	6.8859	0.594	0.7722	0.6715	
['ClinVarReal', 'BBNR', 0.6, 'Real', 300, 0]	F									
['ClinVarReal', 'CVCF', 0.2, 'Real', 300, 0]	S	45	177	63	15	3.713	0.2027	0.75	0.3191	
['ClinVarReal', 'BBNR', 0.6, 'Real', 100, 0]	F									
['ClinVarReal', 'HARF', 0.3, 'Real', 100, 0]	F									
['ClinVarReal', 'HARF', 0.3, 'Real', 300, 0]	F									
['ClinVarReal', 'CVCF', 0.2, 'Real', 1000, 0]	S	143	575	225	57	3.9481	0.1992	0.715	0.3115	
['ClinVarReal', 'CVCF', 0.2, 'Real', 500, 0]	S	72	277	123	28	6.7942	0.2063	0.72	0.3207	
['ClinVarReal', 'HARF', 0.2, 'Real', 3000, 0]	F									
['ClinVarReal', 'C45robustFilter', 0.4, 'Real', 1000, 0]	S	310	456	144	90	3.7411	0.4047	0.775	0.5317	
['ClinVarReal', 'HARF', 0.4, 'Real', 300, 0]	F									
['ClinVarReal', 'CVCF', 0.2, 'Real', 100, 0]	S	11	60	20	9	3.7559	0.1549	0.55	0.2418	
['ClinVarReal', 'C45votingFilter', 0.6, 'Real', 500, 0]	S	245	182	18	55	8.2676	0.5738	0.8167	0.674	
['ClinVarReal', 'HARF', 0.2, 'Real', 1000, 0]	F									
['ClinVarReal', 'C45votingFilter', 0.6, 'Real', 1000, 0]	S	489	342	58	111	5.6104	0.5884	0.815	0.6834	
['ClinVarReal', 'BBNR', 0.5, 'Real', 3000, 0]	F									
['ClinVarReal', 'C45robustFilter', 0.4, 'Real', 3000, 0]	S	923	1354	446	277	5.6438	0.4054	0.7692	0.5309	
['ClinVarReal', 'C45robustFilter', 0.5, 'Real', 500, 0]	S	193	201	49	57	5.0274	0.4898	0.772	0.5994	
['ClinVarReal', 'HARF', 0.2, 'Real', 500, 0]	F									
['ClinVarReal', 'BBNR', 0.5, 'Real', 1000, 0]	F									
['ClinVarReal', 'C45votingFilter', 0.7, 'Real', 300, 0]	S	172	75	15	38	5.2524	0.6964	0.819	0.7527	
['ClinVarReal', 'CVCF', 0.1, 'Real', 3000, 0]	S	199	1830	870	101	6.5393	0.0981	0.6633	0.1709	
['ClinVarReal', 'HARF', 0.2, 'Real', 300, 0]	F									
['ClinVarReal', 'BBNR', 0.5, 'Real', 500, 0]	F									
['ClinVarReal', 'CVCF', 0.1, 'Real', 1000, 0]	S	74	593	307	26	5.4722	0.1109	0.74	0.193	
['ClinVarReal', 'C45votingFilter', 0.7, 'Real', 500, 0]	S	293	128	22	57	5.3538	0.696	0.8371	0.7601	
['ClinVarReal', 'C45robustFilter', 0.5, 'Real', 1000, 0]	S	393	403	97	107	5.7666	0.4937	0.786	0.6065	
['ClinVarReal', 'ORBoostFilter', 0.4, 'Real', 100, 0]	F									
['ClinVarReal', 'HARF', 0.2, 'Real', 100, 0]	F									
['ClinVarReal', 'BBNR', 0.5, 'Real', 300, 0]	F									
['ClinVarReal', 'AENN', 0.4, 'Real', 100, 0]	F									
['ClinVarReal', 'BBNR', 0.1, 'Real', 300, 0]	F									
['ClinVarReal', 'BBNR', 0.05, 'Real', 3000, 0]	F									
['ClinVarReal', 'HARF', 0.4, 'Real', 100, 0]	F									
['ClinVarReal', 'ORBoostFilter', 0.4, 'Real', 300, 0]	N	0	0	180	120	5.7023	0.0	0.0	0.0	
['ClinVarReal', 'ORBoostFilter', 0.4, 'Real', 500, 0]	N	0	0	300	200	7.6747	0.0	0.0	0.0	
['ClinVarReal', 'CVCF', 0.1, 'Real', 500, 0]	S	35	315	135	15	5.1364	0.1	0.7	0.175	
['ClinVarReal', 'ORBoostFilter', 0.4, 'Real', 1000, 0]	N	0	0	600	400	14.4804	0.0	0.0	0.0	
['ClinVarReal', 'ORBoostFilter', 0.3, 'Real', 3000, 0]	S	319	798	1302	581	35.9569	0.2856	0.3544	0.3163	
['ClinVarReal', 'AENN', 0.3, 'Real', 3000, 0]	F									
['ClinVarReal', 'BBNR', 0.05, 'Real', 1000, 0]	F									
['ClinVarReal', 'ORBoostFilter', 0.5, 'Real', 100, 0]	N	0	0	50	50	5.3402	0.0	0.0	0.0	
['ClinVarReal', 'AENN', 0.3, 'Real', 1000, 0]	F									
['ClinVarReal', 'BBNR', 0.05, 'Real', 500, 0]	F									
['ClinVarReal', 'ORBoostFilter', 0.4, 'Real', 3000, 0]	S	434	630	1170	766	36.4978	0.4079	0.3617	0.3834	
['ClinVarReal', 'AENN', 0.3, 'Real', 500, 0]	F									
['ClinVarReal', 'BBNR', 0.05, 'Real', 300, 0]	F									
['ClinVarReal', 'CNN', 0.1, 'Real', 300, 0]	F									
['ClinVarReal', 'CNN', 0.1, 'Real', 500, 0]	F									
['ClinVarReal', 'BBNR', 0.05, 'Real', 100, 0]	F									
['ClinVarReal', 'AENN', 0.3, 'Real', 300, 0]	F									
['ClinVarReal', 'CNN', 0.1, 'Real', 1000, 0]	F									
['ClinVarReal', 'AENN', 0.3, 'Real', 100, 0]	F									
['ClinVarReal', 'HARF', 0.4, 'Real', 500, 0]	F									
['ClinVarReal', 'HARF', 0.7, 'Real', 3000, 0]	F									
['ClinVarReal', 'CNN', 0.1, 'Real', 3000, 0]	F									
['ClinVarReal', 'HARF', 0.7, 'Real', 1000, 0]	F									
['ClinVarReal', 'AENN', 0.2, 'Real', 3000, 0]	F									
['ClinVarReal', 'CNN', 0.2, 'Real', 100, 0]	F									
['ClinVarReal', 'C45iteratedVotingFilter', 0.05, 'Real', 300, 0]	S	11	196	89	4	4.2792	0.0531	0.7333	0.0991	
['ClinVarReal', 'IPF', 0.3, 'Real', 500, 0]	S	109	263	87	41	7.4861	0.293	0.7267	0.4176	
['ClinVarReal', 'CNN', 0.2, 'Real', 300, 0]	F									
['ClinVarReal', 'C45iteratedVotingFilter', 0.05, 'Real', 100, 0]	S	3	52	43	2	5.3916	0.0545	0.6	0.1	
['ClinVarReal', 'IPF', 0.3, 'Real', 300, 0]	S	62	146	64	28	6.995	0.2981	0.6889	0.4161	
['ClinVarReal', 'CNN', 0.2, 'Real', 500, 0]	F									
['ClinVarReal', 'IPF', 0.3, 'Real', 100, 0]	S	26	46	24	4	4.8252	0.3611	0.8667	0.5098	
['ClinVarReal', 'CVCF', 0.7, 'Real', 3000, 0]	S	1747	744	156	353	4.6719	0.7013	0.8319	0.7611	
['ClinVarReal', 'HARF', 0.3, 'Real', 3000, 0]	F									
['ClinVarReal', 'C45robustFilter', 0.2, 'Real', 3000, 0]	S	416	1685	715	184	3.9957	0.198	0.6933	0.308	
['ClinVarReal', 'CVCF', 0.5, 'Real', 500, 0]	S	201	197	53	49	4.0007	0.505	0.804	0.6204	
['ClinVarReal', 'CNN', 0.4, 'Real', 300, 0]	F									
['ClinVarReal', 'CNN', 0.4, 'Real', 500, 0]	F									
['ClinVarReal', 'HARF', 0.05, 'Real', 500, 0]	F									
['ClinVarReal', 'AENN', 0.05, 'Real', 500, 0]	F									
['ClinVarReal', 'ORBoostFilter', 0.7, 'Real', 100, 0]	S	22	6	24	48	3.6418	0.7857	0.3143	0.449	
['ClinVarReal', 'C45robustFilter', 0.2, 'Real', 1000, 0]	S	134	556	244	66	5.9226	0.1942	0.67	0.3011	
['ClinVarReal', 'CVCF', 0.5, 'Real', 300, 0]	S	118	116	34	32	6.0945	0.5043	0.7867	0.6146	
['ClinVarReal', 'IPF', 0.7, 'Real', 1000, 0]	S	581	254	46	119	6.9031	0.6958	0.83	0.757	
['ClinVarReal', 'IPF', 0.7, 'Real', 500, 0]	S	303	135	15	47	7.2215	0.6918	0.8657	0.769	
['ClinVarReal', 'ORBoostFilter', 0.6, 'Real', 3000, 0]	S	533	358	842	1267	32.0698	0.5982	0.2961	0.3961	
['ClinVarReal', 'HARF', 0.05, 'Real', 100, 0]	F									
['ClinVarReal', 'CVCF', 0.5, 'Real', 100, 0]	S	38	38	12	12	3.8439	0.5	0.76	0.6032	
['ClinVarReal', 'IPF', 0.7, 'Real', 300, 0]	S	178	80	10	32	5.0637	0.6899	0.8476	0.7607	
['ClinVarReal', 'C45robustFilter', 0.2, 'Real', 500, 0]	S	74	281	119	26	3.775	0.2085	0.74	0.3253	
['ClinVarReal', 'ORBoostFilter', 0.1, 'Real', 1000, 0]	F									
['ClinVarReal', 'ORBoostFilter', 0.2, 'Real', 100, 0]	N	0	0	80	20	5.3262	0.0	0.0	0.0	
['ClinVarReal', 'C45robustFilter', 0.05, 'Real', 3000, 0]	S	105	1872	978	45	5.8103	0.0531	0.7	0.0987	
['ClinVarReal', 'CVCF', 0.4, 'Real', 3000, 0]	S	909	1346	454	291	6.1878	0.4031	0.7575	0.5262	
['ClinVarReal', 'C45robustFilter', 0.2, 'Real', 300, 0]	S	46	168	72	14	4.0276	0.215	0.7667	0.3358	
['ClinVarReal', 'IPF', 0.7, 'Real', 100, 0]	S	58	27	3	12	5.2655	0.6824	0.8286	0.7484	
['ClinVarReal', 'C45robustFilter', 0.7, 'Real', 3000, 0]	S	1753	758	142	347	6.2137	0.6981	0.8348	0.7604	
['ClinVarReal', 'CNN', 0.4, 'Real', 100, 0]	F									
['ClinVarReal', 'CVCF', 0.3, 'Real', 300, 0]	S	61	149	61	29	4.0954	0.2905	0.6778	0.4067	
['ClinVarReal', 'C45robustFilter', 0.7, 'Real', 1000, 0]	S	589	254	46	111	4.1751	0.6987	0.8414	0.7634	
['ClinVarReal', 'ORBoostFilter', 0.7, 'Real', 300, 0]	N	0	0	90	210	5.7768	0.0	0.0	0.0	
['ClinVarReal', 'HARF', 0.05, 'Real', 300, 0]	F									
['ClinVarReal', 'C45robustFilter', 0.2, 'Real', 100, 0]	S	16	47	33	4	3.5774	0.254	0.8	0.3855	
['ClinVarReal', 'CVCF', 0.4, 'Real', 1000, 0]	S	310	465	135	90	4.001	0.4	0.775	0.5277	
['ClinVarReal', 'IPF', 0.6, 'Real', 3000, 0]	S	1463	969	231	337	5.708	0.6016	0.8128	0.6914	
['ClinVarReal', 'ORBoostFilter', 0.1, 'Real', 500, 0]	N	0	0	450	50	8.3967	0.0	0.0	0.0	
['ClinVarReal', 'CNN', 0.4, 'Real', 3000, 0]	F									
['ClinVarReal', 'CNN', 0.4, 'Real', 1000, 0]	F									
['ClinVarReal', 'CNN', 0.5, 'Real', 100, 0]	F									
['ClinVarReal', 'C45robustFilter', 0.7, 'Real', 500, 0]	S	300	128	22	50	3.6212	0.7009	0.8571	0.7712	
['ClinVarReal', 'ORBoostFilter', 0.2, 'Real', 300, 0]	N	0	0	240	60	7.7616	0.0	0.0	0.0	
['ClinVarReal', 'C45robustFilter', 0.05, 'Real', 1000, 0]	S	32	631	319	18	4.9373	0.0483	0.64	0.0898	
['ClinVarReal', 'ORBoostFilter', 0.7, 'Real', 500, 0]	N	0	0	150	350	8.2622	0.0	0.0	0.0	
['ClinVarReal', 'ORBoostFilter', 0.1, 'Real', 300, 0]	N	0	0	270	30	5.9546	0.0	0.0	0.0	
['ClinVarReal', 'ORBoostFilter', 0.6, 'Real', 1000, 0]	F									
['ClinVarReal', 'ORBoostFilter', 0.1, 'Real', 3000, 0]	N	0	0	2700	300	36.3623	0.0	0.0	0.0	
['ClinVarReal', 'IPF', 0.6, 'Real', 1000, 0]	S	474	328	72	126	5.1251	0.591	0.79	0.6762	
['ClinVarReal', 'CVCF', 0.4, 'Real', 500, 0]	S	158	236	64	42	5.3898	0.401	0.79	0.532	
['ClinVarReal', 'C45robustFilter', 0.1, 'Real', 3000, 0]	S	193	1769	931	107	5.8307	0.0984	0.6433	0.1706	
['ClinVarReal', 'ORBoostFilter', 0.5, 'Real', 1000, 0]	N	0	0	500	500	13.9469	0.0	0.0	0.0	
['ClinVarReal', 'C45robustFilter', 0.7, 'Real', 300, 0]	S	176	73	17	34	3.4462	0.7068	0.8381	0.7669	
['ClinVarReal', 'ORBoostFilter', 0.1, 'Real', 100, 0]	N	0	0	90	10	3.8533	0.0	0.0	0.0	
['ClinVarReal', 'C45robustFilter', 0.1, 'Real', 1000, 0]	S	68	604	296	32	3.7689	0.1012	0.68	0.1762	
['ClinVarReal', 'C45iteratedVotingFilter', 0.3, 'Real', 300, 0]	S	61	170	40	29	4.3673	0.2641	0.6778	0.3801	
['ClinVarReal', 'ORBoostFilter', 0.7, 'Real', 1000, 0]	N	0	0	300	700	23.0558	0.0	0.0	0.0	
['ClinVarReal', 'IPF', 0.6, 'Real', 500, 0]	S	230	165	35	70	5.1639	0.5823	0.7667	0.6619	
['ClinVarReal', 'HARF', 0.6, 'Real', 100, 0]	F									
['ClinVarReal', 'CNN', 0.5, 'Real', 300, 0]	F									
['ClinVarReal', 'CVCF', 0.4, 'Real', 300, 0]	S	96	145	35	24	5.43	0.3983	0.8	0.5319	
['ClinVarReal', 'C45votingFilter', 0.3, 'Real', 500, 0]	S	115	257	93	35	4.6104	0.3091	0.7667	0.4406	
['ClinVarReal', 'C45robustFilter', 0.7, 'Real', 100, 0]	S	61	25	5	9	4.6446	0.7093	0.8714	0.7821	
['ClinVarReal', 'IPF', 0.05, 'Real', 3000, 0]	S	94	1879	971	56	7.9543	0.0476	0.6267	0.0886	
['ClinVarReal', 'ORBoostFilter', 0.7, 'Real', 3000, 0]	S	1789	788	112	311	33.4519	0.6942	0.8519	0.765	
['ClinVarReal', 'HARF', 0.5, 'Real', 3000, 0]	F									
['ClinVarReal', 'C45iteratedVotingFilter', 0.3, 'Real', 500, 0]	S	113	263	87	37	4.2535	0.3005	0.7533	0.4297	
['ClinVarReal', 'C45votingFilter', 0.3, 'Real', 1000, 0]	S	231	491	209	69	3.8921	0.3199	0.77	0.4521	
['ClinVarReal', 'HARF', 0.5, 'Real', 1000, 0]	F									
['ClinVarReal', 'IPF', 0.1, 'Real', 100, 0]	S	9	57	33	1	4.7089	0.1364	0.9	0.2368	
['ClinVarReal', 'C45robustFilter', 0.05, 'Real', 300, 0]	S	7	196	89	8	3.7235	0.0345	0.4667	0.0642	
['ClinVarReal', 'C45votingFilter', 0.3, 'Real', 3000, 0]	S	659	1527	573	241	4.6036	0.3015	0.7322	0.4271	
['ClinVarReal', 'C45iteratedVotingFilter', 0.3, 'Real', 1000, 0]	S	219	515	185	81	4.4767	0.2984	0.73	0.4236	
['ClinVarReal', 'IPF', 0.1, 'Real', 300, 0]	S	20	172	98	10	4.9762	0.1042	0.6667	0.1802	
['ClinVarReal', 'C45votingFilter', 0.4, 'Real', 100, 0]	S	33	45	15	7	3.5713	0.4231	0.825	0.5593	
['ClinVarReal', 'C45iteratedVotingFilter', 0.3, 'Real', 3000, 0]	S	662	1518	582	238	6.6101	0.3037	0.7356	0.4299	
['ClinVarReal', 'C45iteratedVotingFilter', 0.4, 'Real', 100, 0]	S	32	43	17	8	3.962	0.4267	0.8	0.5565	
['ClinVarReal', 'C45votingFilter', 0.4, 'Real', 300, 0]	S	93	136	44	27	3.7412	0.4061	0.775	0.533	
['ClinVarReal', 'IPF', 0.1, 'Real', 500, 0]	S	30	295	155	20	4.8522	0.0923	0.6	0.16	
['ClinVarReal', 'HARF', 0.5, 'Real', 500, 0]	F									
['ClinVarReal', 'HARF', 0.5, 'Real', 300, 0]	F									
['ClinVarReal', 'C45votingFilter', 0.05, 'Real', 100, 0]	S	4	59	36	1	3.7545	0.0635	0.8	0.1176	
['ClinVarReal', 'C45iteratedVotingFilter', 0.4, 'Real', 300, 0]	S	83	140	40	37	4.1037	0.3722	0.6917	0.484	
['ClinVarReal', 'IPF', 0.1, 'Real', 1000, 0]	S	67	594	306	33	7.0291	0.1014	0.67	0.1761	
['ClinVarReal', 'CNN', 0.3, 'Real', 3000, 0]	F									
['ClinVarReal', 'C45votingFilter', 0.05, 'Real', 300, 0]	S	9	183	102	6	3.5374	0.0469	0.6	0.087	
['ClinVarReal', 'C45votingFilter', 0.05, 'Real', 500, 0]	S	12	320	155	13	3.8469	0.0361	0.48	0.0672	
['ClinVarReal', 'C45votingFilter', 0.4, 'Real', 1000, 0]	S	303	460	140	97	4.0407	0.3971	0.7575	0.5211	
