['DryBean', 'KDN', 0.4, 'Asym', 3000, 0]	S	1135	904	896	65	0.2363	0.5566	0.9458	0.7008	
['DryBean', 'PD', 0.3, 'Sym', 1000, 0]	S	279	296	404	21	0.02	0.4852	0.93	0.6377	
['DryBean', 'RFD', 0.4, 'Sym', 300, 0]	S	120	83	97	0	0.1986	0.5911	1.0	0.743	
['DryBean', 'MCS', 0.1, 'Asym', 3000, 0]	S	267	854	1846	33	2.9701	0.2382	0.89	0.3758	
['DryBean', 'MCS', 0.05, 'Asym', 500, 0]	S	22	156	319	3	1.1489	0.1236	0.88	0.2167	
['DryBean', 'IH', 0.4, 'Asym', 1000, 0]	S	392	151	449	8	6.8356	0.7219	0.98	0.8314	
['DryBean', 'RFD', 0.6, 'Asym', 1000, 0]	S	595	181	219	5	0.3778	0.7668	0.9917	0.8648	
['DryBean', 'IH', 0.4, 'Sym', 3000, 0]	S	1191	1012	788	9	7.2455	0.5406	0.9925	0.7	
['DryBean', 'RFD', 0.1, 'Sym', 3000, 0]	S	293	336	2364	7	0.9207	0.4658	0.9767	0.6308	
['DryBean', 'FKDN', 0.4, 'Asym', 1000, 0]	S	362	24	576	38	0.3285	0.9378	0.905	0.9211	
['DryBean', 'MCS', 0.3, 'Asym', 100, 0]	S	30	70	0	0	0.035	0.3	1.0	0.4615	
['DryBean', 'PD', 0.3, 'Asym', 300, 0]	S	88	77	133	2	0.0206	0.5333	0.9778	0.6902	
['DryBean', 'PD', 0.5, 'Sym', 3000, 0]	S	1416	599	901	84	0.0311	0.7027	0.944	0.8057	
['DryBean', 'MCS', 0.2, 'Sym', 3000, 0]	S	559	742	1658	41	2.6791	0.4297	0.9317	0.5881	
['DryBean', 'PD', 0.05, 'Sym', 3000, 0]	S	136	953	1897	14	0.0237	0.1249	0.9067	0.2195	
['DryBean', 'MCS', 0.7, 'Sym', 3000, 0]	S	1964	427	473	136	1.109	0.8214	0.9352	0.8746	
['DryBean', 'PD', 0.3, 'Sym', 500, 0]	S	139	157	193	11	0.0172	0.4696	0.9267	0.6233	
['DryBean', 'PD', 0.05, 'Asym', 3000, 0]	S	139	981	1869	11	0.023	0.1241	0.9267	0.2189	
['DryBean', 'RkDN', 0.3, 'Sym', 3000, 0]	S	859	1172	928	41	0.3546	0.4229	0.9544	0.5861	
['DryBean', 'KDN', 0.2, 'Sym', 500, 0]	S	95	223	177	5	0.0166	0.2987	0.95	0.4545	
['DryBean', 'IH', 0.7, 'Asym', 300, 0]	S	207	69	21	3	1.039	0.75	0.9857	0.8519	
['DryBean', 'IH', 0.05, 'Asym', 300, 0]	S	14	49	236	1	9.5956	0.2222	0.9333	0.359	
['DryBean', 'RkDN', 0.3, 'Asym', 3000, 0]	S	816	822	1278	84	0.2727	0.4982	0.9067	0.643	
['DryBean', 'RkDN', 0.6, 'Sym', 500, 0]	S	284	168	32	16	0.0262	0.6283	0.9467	0.7553	
['DryBean', 'KDN', 0.2, 'Asym', 500, 0]	S	86	197	203	14	0.0258	0.3039	0.86	0.4491	
['DryBean', 'RkDN', 0.1, 'Sym', 500, 0]	S	47	234	216	3	0.0184	0.1673	0.94	0.284	
['DryBean', 'FKDN', 0.4, 'Sym', 500, 0]	S	180	40	260	20	0.3014	0.8182	0.9	0.8571	
['DryBean', 'KDN', 0.7, 'Sym', 500, 0]	S	342	142	8	8	0.0201	0.7066	0.9771	0.8201	
['DryBean', 'FKDN', 0.2, 'Sym', 1000, 0]	S	193	58	742	7	0.3094	0.7689	0.965	0.8559	
['DryBean', 'KDN', 0.7, 'Asym', 500, 0]	S	345	128	22	5	0.0255	0.7294	0.9857	0.8384	
['DryBean', 'KDN', 0.5, 'Sym', 100, 0]	S	47	38	12	3	0.0159	0.5529	0.94	0.6963	
['DryBean', 'PD', 0.3, 'Asym', 1000, 0]	S	299	321	379	1	0.0315	0.4823	0.9967	0.65	
['DryBean', 'IH', 0.6, 'Sym', 100, 0]	S	57	29	11	3	2.5605	0.6628	0.95	0.7808	
