['DryBean', 'C45iteratedVotingFilter', 0.1, 'Sym', 300, 0]	S	26	14	256	4	4.7274	0.65	0.8667	0.7429	
['DryBean', 'BBNR', 0.05, 'Sym', 1000, 0]	S	47	116	834	3	8.3005	0.2883	0.94	0.4413	
['DryBean', 'BBNR', 0.7, 'Asym', 300, 0]	S	75	9	81	135	5.0861	0.8929	0.3571	0.5102	
['DryBean', 'C45iteratedVotingFilter', 0.1, 'Asym', 300, 0]	S	23	13	257	7	7.24	0.6389	0.7667	0.697	
['DryBean', 'AENN', 0.6, 'Asym', 300, 0]	S	154	60	60	26	6.9669	0.7196	0.8556	0.7817	
['DryBean', 'CNN', 0.05, 'Sym', 100, 0]	S	0	52	43	5	3.1839	0.0	0.0	0.0	
['DryBean', 'C45iteratedVotingFilter', 0.2, 'Sym', 100, 0]	S	16	3	77	4	4.0533	0.8421	0.8	0.8205	
['DryBean', 'IPF', 0.3, 'Asym', 500, 0]	S	133	24	326	17	5.4364	0.8471	0.8867	0.8664	
['DryBean', 'C45iteratedVotingFilter', 0.4, 'Asym', 500, 0]	S	159	19	281	41	7.9437	0.8933	0.795	0.8413	
['DryBean', 'C45votingFilter', 0.6, 'Sym', 1000, 0]	S	95	14	386	505	5.9569	0.8716	0.1583	0.268	
['DryBean', 'CNN', 0.2, 'Asym', 300, 0]	S	4	154	86	56	7.2974	0.0253	0.0667	0.0367	
['DryBean', 'CVCF', 0.4, 'Asym', 3000, 0]	S	414	21	1779	786	6.499	0.9517	0.345	0.5064	
['DryBean', 'C45votingFilter', 0.3, 'Sym', 100, 0]	S	8	1	69	22	6.5997	0.8889	0.2667	0.4103	
['DryBean', 'AENN', 0.05, 'Sym', 100, 0]	S	4	20	75	1	3.7911	0.1667	0.8	0.2759	
['DryBean', 'AENN', 0.05, 'Asym', 100, 0]	S	4	13	82	1	3.9166	0.2353	0.8	0.3636	
['DryBean', 'CVCF', 0.7, 'Asym', 500, 0]	S	62	3	147	288	5.2385	0.9538	0.1771	0.2988	
['DryBean', 'CNN', 0.4, 'Asym', 500, 0]	S	18	141	159	182	9.5672	0.1132	0.09	0.1003	
['DryBean', 'BBNR', 0.1, 'Sym', 100, 0]	S	9	27	63	1	3.6663	0.25	0.9	0.3913	
['DryBean', 'HARF', 0.05, 'Sym', 100, 0]	S	5	7	88	0	2.9583	0.4167	1.0	0.5882	
['DryBean', 'HARF', 0.4, 'Asym', 500, 0]	S	186	34	266	14	4.069	0.8455	0.93	0.8857	
['DryBean', 'BBNR', 0.3, 'Asym', 500, 0]	S	77	5	345	73	6.7132	0.939	0.5133	0.6638	
['DryBean', 'IPF', 0.1, 'Sym', 100, 0]	S	5	4	86	5	4.6975	0.5556	0.5	0.5263	
['DryBean', 'HARF', 0.05, 'Asym', 100, 0]	S	4	7	88	1	2.2703	0.3636	0.8	0.5	
['DryBean', 'HARF', 0.4, 'Sym', 1000, 0]	S	385	95	505	15	4.6713	0.8021	0.9625	0.875	
['DryBean', 'BBNR', 0.3, 'Sym', 1000, 0]	S	227	64	636	73	8.4739	0.7801	0.7567	0.7682	
['DryBean', 'AENN', 0.4, 'Asym', 500, 0]	S	184	101	199	16	12.6248	0.6456	0.92	0.7588	
['DryBean', 'CVCF', 0.5, 'Asym', 1000, 0]	S	138	6	494	362	4.1722	0.9583	0.276	0.4286	
['DryBean', 'CVCF', 0.05, 'Asym', 500, 0]	S	15	3	472	10	4.8284	0.8333	0.6	0.6977	
['DryBean', 'AENN', 0.2, 'Asym', 3000, 0]	S	528	341	2059	72	142.2126	0.6076	0.88	0.7189	
['DryBean', 'HARF', 0.2, 'Sym', 100, 0]	S	20	5	75	0	2.451	0.8	1.0	0.8889	
['DryBean', 'BBNR', 0.5, 'Asym', 500, 0]	S	134	8	242	116	6.8366	0.9437	0.536	0.6837	
['DryBean', 'AENN', 0.2, 'Sym', 500, 0]	S	97	112	288	3	9.4901	0.4641	0.97	0.6278	
['DryBean', 'ORBoostFilter', 0.1, 'Asym', 500, 0]	S	47	40	410	3	3.8071	0.5402	0.94	0.6861	
['DryBean', 'C45iteratedVotingFilter', 0.6, 'Asym', 500, 0]	S	215	17	183	85	8.8271	0.9267	0.7167	0.8083	
['DryBean', 'CNN', 0.6, 'Asym', 500, 0]	S	28	68	132	272	7.9409	0.2917	0.0933	0.1414	
['DryBean', 'CVCF', 0.5, 'Asym', 100, 0]	S	10	2	48	40	3.8989	0.8333	0.2	0.3226	
['DryBean', 'CNN', 0.2, 'Sym', 100, 0]	S	0	46	34	20	4.1337	0.0	0.0	0.0	
