['EncodeReal', 'FKDN', 0.5, 'Real', 3000, 0]	S	144	273	1227	1356	0.8961	0.3453	0.096	0.1502	
['EncodeReal', 'FKDN', 0.5, 'Real', 3000, 1]	S	136	226	1274	1364	0.8803	0.3757	0.0907	0.1461	
['EncodeReal', 'FKDN', 0.5, 'Real', 3000, 2]	S	139	257	1243	1361	0.8893	0.351	0.0927	0.1466	
['EncodeReal', 'FKDN', 0.5, 'Real', 3000, 3]	S	165	244	1256	1335	0.8946	0.4034	0.11	0.1729	
['EncodeReal', 'FKDN', 0.5, 'Real', 3000, 4]	S	152	236	1264	1348	0.8806	0.3918	0.1013	0.161	
['EncodeReal', 'IH', 0.3, 'Real', 100, 0]	S	14	8	62	16	0.0822	0.6364	0.4667	0.5385	
['EncodeReal', 'IH', 0.3, 'Real', 100, 1]	S	11	9	61	19	0.0829	0.55	0.3667	0.44	
['EncodeReal', 'IH', 0.3, 'Real', 100, 2]	S	16	7	63	14	0.0798	0.6957	0.5333	0.6038	
['EncodeReal', 'IH', 0.3, 'Real', 100, 3]	S	14	5	65	16	0.0791	0.7368	0.4667	0.5714	
['EncodeReal', 'IH', 0.3, 'Real', 100, 4]	S	9	9	61	21	0.0797	0.5	0.3	0.375	
['EncodeReal', 'RkDN', 0.7, 'Real', 5000, 0]	S	206	416	1084	3294	0.1432	0.3312	0.0589	0.1	
['EncodeReal', 'RkDN', 0.7, 'Real', 5000, 1]	S	197	401	1099	3303	0.1411	0.3294	0.0563	0.0961	
['EncodeReal', 'RkDN', 0.7, 'Real', 5000, 2]	S	203	441	1059	3297	0.1401	0.3152	0.058	0.098	
['EncodeReal', 'RkDN', 0.7, 'Real', 5000, 3]	S	173	433	1067	3327	0.1395	0.2855	0.0494	0.0843	
['EncodeReal', 'RkDN', 0.7, 'Real', 5000, 4]	S	197	430	1070	3303	0.1401	0.3142	0.0563	0.0955	
['EncodeReal', 'IH', 0.2, 'Real', 10000, 0]	S	1027	425	7575	973	0.4958	0.7073	0.5135	0.595	
['EncodeReal', 'IH', 0.2, 'Real', 10000, 1]	S	1018	404	7596	982	0.4732	0.7159	0.509	0.595	
['EncodeReal', 'IH', 0.2, 'Real', 10000, 2]	S	1048	405	7595	952	0.4694	0.7213	0.524	0.607	
['EncodeReal', 'IH', 0.2, 'Real', 10000, 3]	S	964	465	7535	1036	0.4763	0.6746	0.482	0.5623	
