['EncodeReal', 'CVCF', 0.1, 'Real', 1000, 0]	S	9	67	833	91	3.2348	0.1184	0.09	0.1023	
['EncodeReal', 'CVCF', 0.1, 'Real', 1000, 1]	S	14	58	842	86	0.2611	0.1944	0.14	0.1628	
['EncodeReal', 'CVCF', 0.1, 'Real', 1000, 2]	S	11	72	828	89	0.2723	0.1325	0.11	0.1202	
['EncodeReal', 'CVCF', 0.1, 'Real', 1000, 3]	S	5	73	827	95	0.2371	0.0641	0.05	0.0562	
['EncodeReal', 'CVCF', 0.1, 'Real', 1000, 4]	S	9	78	822	91	0.1808	0.1034	0.09	0.0963	
['EncodeReal', 'CVCF', 0.1, 'Real', 5000, 0]	S	35	315	4185	465	3.6941	0.1	0.07	0.0824	
['EncodeReal', 'CVCF', 0.1, 'Real', 5000, 1]	S	39	367	4133	461	0.4789	0.0961	0.078	0.0861	
['EncodeReal', 'CVCF', 0.1, 'Real', 5000, 2]	S	39	360	4140	461	0.3743	0.0977	0.078	0.0868	
['EncodeReal', 'CVCF', 0.1, 'Real', 5000, 3]	S	36	331	4169	464	0.3188	0.0981	0.072	0.083	
['EncodeReal', 'CVCF', 0.1, 'Real', 5000, 4]	S	39	316	4184	461	0.2774	0.1099	0.078	0.0912	
['EncodeReal', 'CVCF', 0.1, 'Real', 3000, 0]	S	24	234	2466	276	3.8395	0.093	0.08	0.086	
['EncodeReal', 'CVCF', 0.1, 'Real', 3000, 1]	S	20	176	2524	280	0.4489	0.102	0.0667	0.0806	
['EncodeReal', 'CVCF', 0.1, 'Real', 3000, 2]	S	27	201	2499	273	0.3718	0.1184	0.09	0.1023	
['EncodeReal', 'CVCF', 0.1, 'Real', 3000, 3]	S	30	222	2478	270	0.3663	0.119	0.1	0.1087	
['EncodeReal', 'CVCF', 0.1, 'Real', 3000, 4]	S	22	227	2473	278	0.2256	0.0884	0.0733	0.0801	
['EncodeReal', 'CVCF', 0.1, 'Real', 10000, 0]	S	96	720	8280	904	5.8276	0.1176	0.096	0.1057	
['EncodeReal', 'CVCF', 0.1, 'Real', 10000, 1]	S	67	757	8243	933	0.7053	0.0813	0.067	0.0735	
['EncodeReal', 'CVCF', 0.1, 'Real', 10000, 2]	S	83	726	8274	917	0.5822	0.1026	0.083	0.0918	
['EncodeReal', 'CVCF', 0.1, 'Real', 10000, 3]	S	93	727	8273	907	0.6153	0.1134	0.093	0.1022	
['EncodeReal', 'CVCF', 0.1, 'Real', 10000, 4]	S	78	632	8368	922	0.7325	0.1099	0.078	0.0912	
