['IFD', 'ERL', 0.6, 'Sym', 100, 0]	S	52	13	27	8	7.3959	0.8	0.8667	0.832	{'beta': 0.6, 'plusLayers': 3, 'learningRate': 0.001, 'scaling': True, 'loss': 'ERL'}
['IFD', 'ERL', 0.6, 'Sym', 100, 1]	S	48	12	28	12	7.3541	0.8	0.8	0.8	{'beta': 0.6, 'plusLayers': 3, 'learningRate': 0.001, 'scaling': True, 'loss': 'ERL'}
['IFD', 'ERL', 0.6, 'Sym', 100, 2]	S	45	12	28	15	7.2966	0.7895	0.75	0.7692	{'beta': 0.6, 'plusLayers': 3, 'learningRate': 0.001, 'scaling': True, 'loss': 'ERL'}
['IFD', 'ERL', 0.6, 'Sym', 100, 3]	S	38	11	29	22	7.1979	0.7755	0.6333	0.6972	{'beta': 0.6, 'plusLayers': 3, 'learningRate': 0.001, 'scaling': True, 'loss': 'ERL'}
['IFD', 'ERL', 0.6, 'Sym', 100, 4]	S	47	11	29	13	7.4059	0.8103	0.7833	0.7966	{'beta': 0.6, 'plusLayers': 3, 'learningRate': 0.001, 'scaling': True, 'loss': 'ERL'}
['IFD', 'ERL', 0.6, 'Sym', 100, 5]	S	50	19	21	10	7.2101	0.7246	0.8333	0.7752	{'beta': 0.6, 'plusLayers': 3, 'learningRate': 0.001, 'scaling': True, 'loss': 'ERL'}
['IFD', 'ERL', 0.6, 'Sym', 100, 6]	S	52	16	24	8	7.2575	0.7647	0.8667	0.8125	{'beta': 0.6, 'plusLayers': 3, 'learningRate': 0.001, 'scaling': True, 'loss': 'ERL'}
['IFD', 'ERL', 0.6, 'Sym', 100, 7]	S	36	3	37	24	7.3525	0.9231	0.6	0.7273	{'beta': 0.6, 'plusLayers': 3, 'learningRate': 0.001, 'scaling': True, 'loss': 'ERL'}
['IFD', 'ERL', 0.6, 'Sym', 100, 8]	S	45	7	33	15	7.2999	0.8654	0.75	0.8036	{'beta': 0.6, 'plusLayers': 3, 'learningRate': 0.001, 'scaling': True, 'loss': 'ERL'}
['IFD', 'ERL', 0.6, 'Sym', 100, 9]	S	40	12	28	20	7.2463	0.7692	0.6667	0.7143	{'beta': 0.6, 'plusLayers': 3, 'learningRate': 0.001, 'scaling': True, 'loss': 'ERL'}
['IFD', 'ERL', 0.7, 'Asym', 300, 0]	S	192	13	77	18	4.9845	0.9366	0.9143	0.9253	{'beta': 0.6, 'plusLayers': 3, 'learningRate': 0.001, 'scaling': True, 'loss': 'ERL'}
['IFD', 'ERL', 0.7, 'Asym', 300, 1]	S	169	4	86	41	4.0463	0.9769	0.8048	0.8825	{'beta': 0.6, 'plusLayers': 3, 'learningRate': 0.001, 'scaling': True, 'loss': 'ERL'}
['IFD', 'ERL', 0.7, 'Asym', 300, 2]	S	182	11	79	28	4.0314	0.943	0.8667	0.9032	{'beta': 0.6, 'plusLayers': 3, 'learningRate': 0.001, 'scaling': True, 'loss': 'ERL'}
['IFD', 'ERL', 0.7, 'Asym', 300, 3]	S	159	3	87	51	4.0204	0.9815	0.7571	0.8548	{'beta': 0.6, 'plusLayers': 3, 'learningRate': 0.001, 'scaling': True, 'loss': 'ERL'}
['IFD', 'ERL', 0.7, 'Asym', 300, 4]	S	179	5	85	31	4.0292	0.9728	0.8524	0.9086	{'beta': 0.6, 'plusLayers': 3, 'learningRate': 0.001, 'scaling': True, 'loss': 'ERL'}
['IFD', 'ERL', 0.7, 'Asym', 300, 5]	S	190	8	82	20	4.0161	0.9596	0.9048	0.9314	{'beta': 0.6, 'plusLayers': 3, 'learningRate': 0.001, 'scaling': True, 'loss': 'ERL'}
