['Magic', 'IH', 0.1, 'Sym', 500, 0]	S	41	81	369	9	0.3238	0.3361	0.82	0.4767	
['Magic', 'MCS', 0.05, 'Sym', 500, 0]	S	21	75	400	4	0.4539	0.2188	0.84	0.3471	
['Magic', 'IH', 0.4, 'Asym', 1000, 0]	S	257	153	447	143	0.3698	0.6268	0.6425	0.6346	
['Magic', 'MCS', 0.1, 'Asym', 3000, 0]	S	220	533	2167	80	0.7375	0.2922	0.7333	0.4179	
['Magic', 'RFD', 0.1, 'Asym', 1000, 0]	S	84	149	751	16	0.3067	0.3605	0.84	0.5045	
['Magic', 'RFD', 0.6, 'Asym', 1000, 0]	S	255	185	215	345	0.4516	0.5795	0.425	0.4904	
['Magic', 'MCS', 0.5, 'Sym', 300, 0]	S	55	60	90	95	0.6883	0.4783	0.3667	0.4151	
['Magic', 'IH', 0.4, 'Sym', 3000, 0]	S	753	684	1116	447	0.5419	0.524	0.6275	0.5711	
['Magic', 'IH', 0.7, 'Sym', 300, 0]	S	51	56	34	159	0.1938	0.4766	0.2429	0.3218	
['Magic', 'MCS', 0.2, 'Sym', 3000, 0]	S	479	467	1933	121	0.7232	0.5063	0.7983	0.6197	
['Magic', 'MCS', 0.5, 'Asym', 300, 0]	S	84	20	130	66	0.6995	0.8077	0.56	0.6614	
['Magic', 'MCS', 0.7, 'Sym', 3000, 0]	S	417	678	222	1683	0.6677	0.3808	0.1986	0.261	
['Magic', 'IH', 0.7, 'Asym', 300, 0]	S	84	50	40	126	0.3609	0.6269	0.4	0.4884	
['Magic', 'IH', 0.2, 'Asym', 300, 0]	S	45	55	185	15	0.1745	0.45	0.75	0.5625	
['Magic', 'PD', 0.05, 'Asym', 3000, 0]	S	117	568	2282	33	0.0194	0.1708	0.78	0.2802	
['Magic', 'RkDN', 0.3, 'Sym', 3000, 0]	S	536	589	1511	364	0.0864	0.4764	0.5956	0.5294	
['Magic', 'RkDN', 0.6, 'Asym', 300, 0]	S	71	53	67	109	0.0125	0.5726	0.3944	0.4671	
['Magic', 'KDN', 0.2, 'Sym', 500, 0]	S	68	141	259	32	0.023	0.3254	0.68	0.4401	
['Magic', 'RkDN', 0.1, 'Asym', 300, 0]	S	19	70	200	11	0.0134	0.2135	0.6333	0.3193	
['Magic', 'MCS', 0.3, 'Asym', 100, 0]	S	14	10	60	16	0.6869	0.5833	0.4667	0.5185	
['Magic', 'RkDN', 0.1, 'Sym', 500, 0]	S	41	112	338	9	0.0156	0.268	0.82	0.4039	
['Magic', 'PD', 0.7, 'Sym', 100, 0]	S	25	10	20	45	0.0179	0.7143	0.3571	0.4762	
['Magic', 'RkDN', 0.3, 'Asym', 3000, 0]	S	482	512	1588	418	0.0855	0.4849	0.5356	0.509	
['Magic', 'FKDN', 0.7, 'Sym', 300, 0]	S	7	18	72	203	0.156	0.28	0.0333	0.0596	
['Magic', 'RkDN', 0.6, 'Sym', 500, 0]	S	109	92	108	191	0.0228	0.5423	0.3633	0.4351	
['Magic', 'MCS', 0.5, 'Sym', 1000, 0]	S	294	140	360	206	0.4631	0.6774	0.588	0.6296	
['Magic', 'KDN', 0.7, 'Sym', 500, 0]	S	126	97	53	224	0.0228	0.565	0.36	0.4398	
['Magic', 'FKDN', 0.1, 'Asym', 3000, 0]	S	221	299	2401	79	1.2756	0.425	0.7367	0.539	
['Magic', 'FKDN', 0.4, 'Sym', 500, 0]	S	37	16	284	163	0.2005	0.6981	0.185	0.2925	
['Magic', 'MCS', 0.6, 'Sym', 1000, 0]	S	124	282	118	476	0.7943	0.3054	0.2067	0.2465	
['Magic', 'IH', 0.4, 'Sym', 300, 0]	S	63	77	103	57	0.2349	0.45	0.525	0.4846	
['Magic', 'MCS', 0.7, 'Asym', 300, 0]	S	45	69	21	165	0.7107	0.3947	0.2143	0.2778	
['Magic', 'IH', 0.4, 'Asym', 300, 0]	S	79	57	123	41	0.2591	0.5809	0.6583	0.6172	
['Magic', 'IH', 0.6, 'Sym', 100, 0]	S	34	15	25	26	0.1636	0.6939	0.5667	0.6239	
['Magic', 'RFD', 0.1, 'Sym', 300, 0]	S	24	47	223	6	0.172	0.338	0.8	0.4752	
['Magic', 'PD', 0.2, 'Sym', 3000, 0]	S	486	465	1935	114	0.0277	0.511	0.81	0.6267	
['Magic', 'PD', 0.3, 'Asym', 1000, 0]	S	198	137	563	102	0.0319	0.591	0.66	0.6236	
['Magic', 'MCS', 0.4, 'Sym', 3000, 0]	S	897	371	1429	303	1.0459	0.7074	0.7475	0.7269	
['Magic', 'RFD', 0.6, 'Sym', 300, 0]	S	79	75	45	101	0.1752	0.513	0.4389	0.4731	
['Magic', 'PD', 0.2, 'Asym', 3000, 0]	S	424	491	1909	176	0.0212	0.4634	0.7067	0.5597	
['Magic', 'RFD', 0.1, 'Asym', 300, 0]	S	18	39	231	12	0.1731	0.3158	0.6	0.4138	
['Magic', 'RkDN', 0.5, 'Sym', 3000, 0]	S	606	644	856	894	0.113	0.4848	0.404	0.4407	
['Magic', 'PD', 0.7, 'Sym', 3000, 0]	S	541	658	242	1559	0.0281	0.4512	0.2576	0.328	
['Magic', 'RFD', 0.6, 'Asym', 300, 0]	S	83	43	77	97	0.1713	0.6587	0.4611	0.5425	
['Magic', 'MCS', 0.6, 'Asym', 1000, 0]	S	251	182	218	349	0.7637	0.5797	0.4183	0.486	
['Magic', 'RFD', 0.7, 'Sym', 100, 0]	S	21	20	10	49	0.1438	0.5122	0.3	0.3784	
['Magic', 'FKDN', 0.6, 'Sym', 500, 0]	S	21	49	151	279	0.2041	0.3	0.07	0.1135	
['Magic', 'RkDN', 0.5, 'Asym', 3000, 0]	S	653	553	947	847	0.1123	0.5415	0.4353	0.4826	
['Magic', 'IH', 0.6, 'Sym', 3000, 0]	S	683	719	481	1117	0.5663	0.4872	0.3794	0.4266	
['Magic', 'PD', 0.5, 'Asym', 300, 0]	S	81	31	119	69	0.0199	0.7232	0.54	0.6183	
['Magic', 'PD', 0.05, 'Asym', 300, 0]	S	14	41	244	1	0.0207	0.2545	0.9333	0.4	
['Magic', 'FKDN', 0.3, 'Asym', 3000, 0]	S	491	325	1775	409	1.0439	0.6017	0.5456	0.5723	
['Magic', 'MCS', 0.2, 'Asym', 300, 0]	S	39	41	199	21	0.7123	0.4875	0.65	0.5571	
['Magic', 'PD', 0.5, 'Sym', 500, 0]	S	94	134	116	156	0.0224	0.4123	0.376	0.3933	
['Magic', 'IH', 0.1, 'Sym', 3000, 0]	S	249	542	2158	51	0.6178	0.3148	0.83	0.4565	
['Magic', 'KDN', 0.1, 'Asym', 3000, 0]	S	216	615	2085	84	0.0599	0.2599	0.72	0.382	
