['Pokerhand', 'CleanLab', 0.3, 'Sym', 100, 0]	S	12	23	47	18	0.0376	0.3429	0.4	0.3692	
['Pokerhand', 'CleanLab', 0.3, 'Sym', 100, 1]	S	11	29	41	19	0.0365	0.275	0.3667	0.3143	
['Pokerhand', 'CleanLab', 0.3, 'Sym', 100, 2]	S	17	41	29	13	0.0378	0.2931	0.5667	0.3864	
['Pokerhand', 'CleanLab', 0.3, 'Sym', 100, 3]	S	13	32	38	17	0.0398	0.2889	0.4333	0.3467	
['Pokerhand', 'CleanLab', 0.3, 'Sym', 100, 4]	S	15	41	29	15	0.0349	0.2679	0.5	0.3488	
['Pokerhand', 'CleanLab', 0.3, 'Sym', 100, 5]	S	5	19	51	25	0.0368	0.2083	0.1667	0.1852	
['Pokerhand', 'CleanLab', 0.3, 'Sym', 100, 6]	S	13	27	43	17	0.0329	0.325	0.4333	0.3714	
['Pokerhand', 'CleanLab', 0.3, 'Sym', 100, 7]	S	10	34	36	20	0.0411	0.2273	0.3333	0.2703	
['Pokerhand', 'CleanLab', 0.3, 'Sym', 100, 8]	S	19	41	29	11	0.0362	0.3167	0.6333	0.4222	
['Pokerhand', 'CleanLab', 0.3, 'Sym', 100, 9]	S	13	21	49	17	0.0352	0.3824	0.4333	0.4062	
['Pokerhand', 'CleanLab', 0.3, 'Sym', 300, 0]	S	48	102	108	42	0.045	0.32	0.5333	0.4	
['Pokerhand', 'CleanLab', 0.3, 'Sym', 300, 1]	S	34	68	142	56	0.0415	0.3333	0.3778	0.3542	
['Pokerhand', 'CleanLab', 0.3, 'Sym', 300, 2]	S	40	102	108	50	0.0442	0.2817	0.4444	0.3448	
['Pokerhand', 'CleanLab', 0.3, 'Sym', 300, 3]	S	44	92	118	46	0.0435	0.3235	0.4889	0.3894	
['Pokerhand', 'CleanLab', 0.3, 'Sym', 300, 4]	S	42	85	125	48	0.0428	0.3307	0.4667	0.3871	
['Pokerhand', 'CleanLab', 0.3, 'Sym', 300, 5]	S	31	75	135	59	0.0397	0.2925	0.3444	0.3163	
['Pokerhand', 'CleanLab', 0.3, 'Sym', 300, 6]	S	41	81	129	49	0.0414	0.3361	0.4556	0.3868	
['Pokerhand', 'CleanLab', 0.3, 'Sym', 300, 7]	S	46	111	99	44	0.0417	0.293	0.5111	0.3725	
['Pokerhand', 'CleanLab', 0.3, 'Sym', 300, 8]	S	31	71	139	59	0.0385	0.3039	0.3444	0.3229	
['Pokerhand', 'CleanLab', 0.3, 'Sym', 300, 9]	S	49	119	91	41	0.0484	0.2917	0.5444	0.3798	
['Pokerhand', 'CleanLab', 0.2, 'Sym', 500, 0]	S	48	182	218	52	0.0418	0.2087	0.48	0.2909	
['Pokerhand', 'CleanLab', 0.2, 'Sym', 500, 1]	S	33	148	252	67	0.0421	0.1823	0.33	0.2349	
['Pokerhand', 'CleanLab', 0.2, 'Sym', 500, 2]	S	43	193	207	57	0.0448	0.1822	0.43	0.256	
['Pokerhand', 'CleanLab', 0.2, 'Sym', 500, 3]	S	36	170	230	64	0.0418	0.1748	0.36	0.2353	
['Pokerhand', 'CleanLab', 0.2, 'Sym', 500, 4]	S	45	170	230	55	0.0462	0.2093	0.45	0.2857	
['Pokerhand', 'CleanLab', 0.2, 'Sym', 500, 5]	S	53	215	185	47	0.0428	0.1978	0.53	0.288	
['Pokerhand', 'CleanLab', 0.2, 'Sym', 500, 6]	S	49	221	179	51	0.0446	0.1815	0.49	0.2649	
['Pokerhand', 'CleanLab', 0.2, 'Sym', 500, 7]	S	45	171	229	55	0.041	0.2083	0.45	0.2848	
['Pokerhand', 'CleanLab', 0.2, 'Sym', 500, 8]	S	47	190	210	53	0.0453	0.1983	0.47	0.2789	
['Pokerhand', 'CleanLab', 0.2, 'Sym', 500, 9]	S	41	177	223	59	0.0449	0.1881	0.41	0.2579	
['Pokerhand', 'CleanLab', 0.2, 'Asym', 1000, 0]	S	75	326	474	125	0.0547	0.187	0.375	0.2496	
['Pokerhand', 'CleanLab', 0.2, 'Asym', 1000, 1]	S	94	400	400	106	0.0555	0.1903	0.47	0.2709	
['Pokerhand', 'CleanLab', 0.2, 'Asym', 1000, 2]	S	93	340	460	107	0.0523	0.2148	0.465	0.2938	
['Pokerhand', 'CleanLab', 0.2, 'Asym', 1000, 3]	S	71	267	533	129	0.0468	0.2101	0.355	0.2639	
['Pokerhand', 'CleanLab', 0.2, 'Asym', 1000, 4]	S	98	378	422	102	0.0522	0.2059	0.49	0.2899	
['Pokerhand', 'CleanLab', 0.2, 'Asym', 1000, 5]	S	118	415	385	82	0.0566	0.2214	0.59	0.322	
['Pokerhand', 'CleanLab', 0.2, 'Asym', 1000, 6]	S	93	340	460	107	0.0567	0.2148	0.465	0.2938	
['Pokerhand', 'CleanLab', 0.2, 'Asym', 1000, 7]	S	88	367	433	112	0.0592	0.1934	0.44	0.2687	
['Pokerhand', 'CleanLab', 0.2, 'Asym', 1000, 8]	S	95	349	451	105	0.0574	0.214	0.475	0.295	
['Pokerhand', 'CleanLab', 0.2, 'Asym', 1000, 9]	S	99	371	429	101	0.0521	0.2106	0.495	0.2955	
['Pokerhand', 'CleanLab', 0.9, 'Asym', 1000, 0]	S	432	45	55	468	0.0534	0.9057	0.48	0.6275	
['Pokerhand', 'CleanLab', 0.9, 'Asym', 1000, 1]	S	434	40	60	466	0.0529	0.9156	0.4822	0.6317	
['Pokerhand', 'CleanLab', 0.9, 'Asym', 1000, 2]	S	468	54	46	432	0.0523	0.8966	0.52	0.6582	
['Pokerhand', 'CleanLab', 0.9, 'Asym', 1000, 3]	S	382	45	55	518	0.0473	0.8946	0.4244	0.5757	
['Pokerhand', 'CleanLab', 0.9, 'Asym', 1000, 4]	S	467	61	39	433	0.0531	0.8845	0.5189	0.6541	
['Pokerhand', 'CleanLab', 0.9, 'Asym', 1000, 5]	S	399	44	56	501	0.0474	0.9007	0.4433	0.5942	
['Pokerhand', 'CleanLab', 0.9, 'Asym', 1000, 6]	S	377	35	65	523	0.055	0.915	0.4189	0.5747	
['Pokerhand', 'CleanLab', 0.9, 'Asym', 1000, 7]	S	423	53	47	477	0.0484	0.8887	0.47	0.6148	
['Pokerhand', 'CleanLab', 0.9, 'Asym', 1000, 8]	S	415	52	48	485	0.0543	0.8887	0.4611	0.6072	
['Pokerhand', 'CleanLab', 0.9, 'Asym', 1000, 9]	S	448	51	49	452	0.0547	0.8978	0.4978	0.6405	
['Pokerhand', 'CleanLab', 0.2, 'Asym', 500, 0]	S	49	206	194	51	0.0874	0.1922	0.49	0.2761	
['Pokerhand', 'CleanLab', 0.2, 'Asym', 500, 1]	S	46	190	210	54	0.0759	0.1949	0.46	0.2738	
['Pokerhand', 'CleanLab', 0.2, 'Asym', 500, 2]	S	52	157	243	48	0.0747	0.2488	0.52	0.3366	
['Pokerhand', 'CleanLab', 0.2, 'Asym', 500, 3]	S	54	218	182	46	0.0735	0.1985	0.54	0.2903	
['Pokerhand', 'CleanLab', 0.2, 'Asym', 500, 4]	S	36	170	230	64	0.0735	0.1748	0.36	0.2353	
['Pokerhand', 'CleanLab', 0.2, 'Asym', 500, 5]	S	63	223	177	37	0.0817	0.2203	0.63	0.3264	
['Pokerhand', 'CleanLab', 0.2, 'Asym', 500, 6]	S	48	168	232	52	0.0813	0.2222	0.48	0.3038	
['Pokerhand', 'CleanLab', 0.2, 'Asym', 500, 7]	S	42	173	227	58	0.0761	0.1953	0.42	0.2667	
['Pokerhand', 'CleanLab', 0.2, 'Asym', 500, 8]	S	48	204	196	52	0.0835	0.1905	0.48	0.2727	
['Pokerhand', 'CleanLab', 0.2, 'Asym', 500, 9]	S	42	160	240	58	0.0742	0.2079	0.42	0.2781	
['Pokerhand', 'CleanLab', 0.2, 'Asym', 300, 0]	S	29	115	125	31	0.0973	0.2014	0.4833	0.2843	
['Pokerhand', 'CleanLab', 0.2, 'Asym', 300, 1]	S	30	131	109	30	0.0703	0.1863	0.5	0.2715	
['Pokerhand', 'CleanLab', 0.2, 'Asym', 300, 2]	S	34	131	109	26	0.0684	0.2061	0.5667	0.3022	
['Pokerhand', 'CleanLab', 0.2, 'Asym', 300, 3]	S	21	110	130	39	0.0717	0.1603	0.35	0.2199	
['Pokerhand', 'CleanLab', 0.2, 'Asym', 300, 4]	S	25	121	119	35	0.0633	0.1712	0.4167	0.2427	
['Pokerhand', 'CleanLab', 0.2, 'Asym', 300, 5]	S	26	120	120	34	0.0693	0.1781	0.4333	0.2524	
['Pokerhand', 'CleanLab', 0.2, 'Asym', 300, 6]	S	28	115	125	32	0.0715	0.1958	0.4667	0.2759	
['Pokerhand', 'CleanLab', 0.2, 'Asym', 300, 7]	S	19	105	135	41	0.0671	0.1532	0.3167	0.2065	
['Pokerhand', 'CleanLab', 0.2, 'Asym', 300, 8]	S	26	96	144	34	0.0668	0.2131	0.4333	0.2857	
['Pokerhand', 'CleanLab', 0.2, 'Asym', 300, 9]	S	29	117	123	31	0.0736	0.1986	0.4833	0.2816	
['Pokerhand', 'CleanLab', 0.2, 'Sym', 1000, 0]	S	87	327	473	113	0.0959	0.2101	0.435	0.2834	
['Pokerhand', 'CleanLab', 0.2, 'Sym', 1000, 1]	S	81	323	477	119	0.0934	0.2005	0.405	0.2682	
['Pokerhand', 'CleanLab', 0.2, 'Sym', 1000, 2]	S	102	359	441	98	0.0894	0.2213	0.51	0.3086	
['Pokerhand', 'CleanLab', 0.2, 'Sym', 1000, 3]	S	90	361	439	110	0.0934	0.1996	0.45	0.2765	
['Pokerhand', 'CleanLab', 0.2, 'Sym', 1000, 4]	S	91	360	440	109	0.0951	0.2018	0.455	0.2796	
['Pokerhand', 'CleanLab', 0.2, 'Sym', 1000, 5]	S	84	380	420	116	0.0889	0.181	0.42	0.253	
['Pokerhand', 'CleanLab', 0.2, 'Sym', 1000, 6]	S	75	349	451	125	0.0904	0.1769	0.375	0.2404	
['Pokerhand', 'CleanLab', 0.2, 'Sym', 1000, 7]	S	97	341	459	103	0.0944	0.2215	0.485	0.3041	
['Pokerhand', 'CleanLab', 0.2, 'Sym', 1000, 8]	S	86	337	463	114	0.0885	0.2033	0.43	0.2761	
['Pokerhand', 'CleanLab', 0.2, 'Sym', 1000, 9]	S	107	437	363	93	0.0974	0.1967	0.535	0.2876	
['Pokerhand', 'CleanLab', 0.6, 'Sym', 1000, 0]	S	290	160	240	310	0.0497	0.6444	0.4833	0.5524	
['Pokerhand', 'CleanLab', 0.6, 'Sym', 1000, 1]	S	270	185	215	330	0.0537	0.5934	0.45	0.5118	
['Pokerhand', 'CleanLab', 0.6, 'Sym', 1000, 2]	S	291	162	238	309	0.0523	0.6424	0.485	0.5527	
['Pokerhand', 'CleanLab', 0.6, 'Sym', 1000, 3]	S	265	175	225	335	0.055	0.6023	0.4417	0.5096	
['Pokerhand', 'CleanLab', 0.6, 'Sym', 1000, 4]	S	276	195	205	324	0.0556	0.586	0.46	0.5154	
['Pokerhand', 'CleanLab', 0.6, 'Sym', 1000, 5]	S	269	175	225	331	0.0502	0.6059	0.4483	0.5153	
['Pokerhand', 'CleanLab', 0.6, 'Sym', 1000, 6]	S	295	198	202	305	0.0539	0.5984	0.4917	0.5398	
['Pokerhand', 'CleanLab', 0.6, 'Sym', 1000, 7]	S	314	172	228	286	0.0519	0.6461	0.5233	0.5783	
['Pokerhand', 'CleanLab', 0.6, 'Sym', 1000, 8]	S	289	181	219	311	0.0548	0.6149	0.4817	0.5402	
['Pokerhand', 'CleanLab', 0.6, 'Sym', 1000, 9]	S	252	193	207	348	0.0531	0.5663	0.42	0.4823	
['Pokerhand', 'CleanLab', 0.9, 'Asym', 500, 0]	S	201	19	31	249	0.0781	0.9136	0.4467	0.6	
['Pokerhand', 'CleanLab', 0.9, 'Asym', 500, 1]	S	202	26	24	248	0.0811	0.886	0.4489	0.5959	
['Pokerhand', 'CleanLab', 0.9, 'Asym', 500, 2]	S	207	16	34	243	0.0783	0.9283	0.46	0.6152	
['Pokerhand', 'CleanLab', 0.9, 'Asym', 500, 3]	S	199	12	38	251	0.0748	0.9431	0.4422	0.6021	
['Pokerhand', 'CleanLab', 0.9, 'Asym', 500, 4]	S	214	30	20	236	0.0817	0.877	0.4756	0.6167	
['Pokerhand', 'CleanLab', 0.9, 'Asym', 500, 5]	S	188	25	25	262	0.0753	0.8826	0.4178	0.5671	
['Pokerhand', 'CleanLab', 0.9, 'Asym', 500, 6]	S	204	23	27	246	0.0737	0.8987	0.4533	0.6027	
['Pokerhand', 'CleanLab', 0.9, 'Asym', 500, 7]	S	192	23	27	258	0.093	0.893	0.4267	0.5774	
['Pokerhand', 'CleanLab', 0.9, 'Asym', 500, 8]	S	187	26	24	263	0.0749	0.8779	0.4156	0.5641	
['Pokerhand', 'CleanLab', 0.9, 'Asym', 500, 9]	S	228	20	30	222	0.08	0.9194	0.5067	0.6533	
['Pokerhand', 'CleanLab', 0.9, 'Sym', 500, 0]	S	208	26	24	242	0.0413	0.8889	0.4622	0.6082	
['Pokerhand', 'CleanLab', 0.9, 'Sym', 500, 1]	S	210	29	21	240	0.0386	0.8787	0.4667	0.6096	
['Pokerhand', 'CleanLab', 0.9, 'Sym', 500, 2]	S	183	24	26	267	0.0427	0.8841	0.4067	0.5571	
['Pokerhand', 'CleanLab', 0.9, 'Sym', 500, 3]	S	219	22	28	231	0.0403	0.9087	0.4867	0.6339	
['Pokerhand', 'CleanLab', 0.9, 'Sym', 500, 4]	S	189	16	34	261	0.035	0.922	0.42	0.5771	
['Pokerhand', 'CleanLab', 0.9, 'Sym', 500, 5]	S	192	19	31	258	0.0373	0.91	0.4267	0.5809	
['Pokerhand', 'CleanLab', 0.9, 'Sym', 500, 6]	S	215	20	30	235	0.0367	0.9149	0.4778	0.6277	
['Pokerhand', 'CleanLab', 0.9, 'Sym', 500, 7]	S	195	26	24	255	0.0371	0.8824	0.4333	0.5812	
['Pokerhand', 'CleanLab', 0.9, 'Sym', 500, 8]	S	199	16	34	251	0.0404	0.9256	0.4422	0.5985	
['Pokerhand', 'CleanLab', 0.9, 'Sym', 500, 9]	S	217	25	25	233	0.0398	0.8967	0.4822	0.6272	
['Pokerhand', 'CleanLab', 0.9, 'Sym', 1000, 0]	S	374	43	57	526	0.0914	0.8969	0.4156	0.568	
