['RNA0', 'IPF', 0.7, 'Asym', 100, 0]	S	19	6	24	51	7.0455	0.76	0.2714	0.4	
['RNA0', 'IPF', 0.2, 'Sym', 1000, 0]	S	130	187	613	70	7.5637	0.4101	0.65	0.5029	
['RNA0', 'BBNR', 0.7, 'Sym', 300, 0]	S	56	37	53	154	5.5188	0.6022	0.2667	0.3696	
['RNA0', 'C45iteratedVotingFilter', 0.1, 'Sym', 300, 0]	S	17	41	229	13	9.1224	0.2931	0.5667	0.3864	
['RNA0', 'AENN', 0.6, 'Sym', 300, 0]	S	81	64	56	99	11.3588	0.5586	0.45	0.4985	
['RNA0', 'BBNR', 0.2, 'Asym', 1000, 0]	S	105	132	668	95	16.9516	0.443	0.525	0.4805	
['RNA0', 'C45iteratedVotingFilter', 0.4, 'Sym', 500, 0]	S	100	110	190	100	5.8299	0.4762	0.5	0.4878	
['RNA0', 'AENN', 0.7, 'Sym', 100, 0]	S	29	17	13	41	5.2215	0.6304	0.4143	0.5	
['RNA0', 'IPF', 0.3, 'Sym', 500, 0]	S	82	92	258	68	6.8695	0.4713	0.5467	0.5062	
['RNA0', 'C45votingFilter', 0.2, 'Asym', 3000, 0]	S	314	423	1977	286	7.5645	0.4261	0.5233	0.4697	
['RNA0', 'C45votingFilter', 0.3, 'Sym', 100, 0]	S	1	1	69	29	3.6782	0.5	0.0333	0.0625	
['RNA0', 'C45robustFilter', 0.3, 'Sym', 500, 0]	S	60	69	281	90	3.9768	0.4651	0.4	0.4301	
['RNA0', 'C45votingFilter', 0.7, 'Sym', 500, 0]	S	54	75	75	296	7.8464	0.4186	0.1543	0.2255	
['RNA0', 'ORBoostFilter', 0.3, 'Asym', 3000, 0]	S	579	493	1607	321	20.358	0.5401	0.6433	0.5872	
['RNA0', 'HARF', 0.6, 'Asym', 3000, 0]	S	244	170	1030	1556	20.9876	0.5894	0.1356	0.2204	
['RNA0', 'CVCF', 0.3, 'Sym', 100, 0]	S	3	9	61	27	3.8059	0.25	0.1	0.1429	
['RNA0', 'CVCF', 0.7, 'Asym', 500, 0]	S	140	42	108	210	5.0858	0.7692	0.4	0.5263	
['RNA0', 'IPF', 0.05, 'Sym', 1000, 0]	S	37	175	775	13	7.9042	0.1745	0.74	0.2824	
['RNA0', 'AENN', 0.05, 'Sym', 100, 0]	S	3	22	73	2	8.6207	0.12	0.6	0.2	
['RNA0', 'C45robustFilter', 0.7, 'Asym', 3000, 0]	S	664	412	488	1436	8.5922	0.6171	0.3162	0.4181	
['RNA0', 'IPF', 0.05, 'Asym', 3000, 0]	S	95	453	2397	55	8.2693	0.1734	0.6333	0.2722	
['RNA0', 'BBNR', 0.1, 'Sym', 100, 0]	S	7	18	72	3	4.6255	0.28	0.7	0.4	
['RNA0', 'HARF', 0.05, 'Sym', 100, 0]	S	4	8	87	1	3.0086	0.3333	0.8	0.4706	
['RNA0', 'CNN', 0.4, 'Asym', 500, 0]	S	52	133	167	148	20.5764	0.2811	0.26	0.2701	
['RNA0', 'HARF', 0.4, 'Asym', 500, 0]	S	53	32	268	147	5.3246	0.6235	0.265	0.3719	
['RNA0', 'AENN', 0.2, 'Asym', 300, 0]	S	42	67	173	18	19.3206	0.3853	0.7	0.497	
['RNA0', 'IPF', 0.1, 'Sym', 100, 0]	S	5	21	69	5	8.2201	0.1923	0.5	0.2778	
['RNA0', 'CVCF', 0.05, 'Sym', 500, 0]	S	6	15	460	19	5.5033	0.2857	0.24	0.2609	
['RNA0', 'BBNR', 0.1, 'Asym', 300, 0]	S	17	56	214	13	7.919	0.2329	0.5667	0.3301	
['RNA0', 'AENN', 0.4, 'Asym', 500, 0]	S	104	89	211	96	32.1299	0.5389	0.52	0.5293	
['RNA0', 'C45votingFilter', 0.5, 'Sym', 100, 0]	S	18	20	30	32	3.8281	0.4737	0.36	0.4091	
['RNA0', 'CVCF', 0.05, 'Asym', 500, 0]	S	4	27	448	21	6.5047	0.129	0.16	0.1429	
['RNA0', 'C45robustFilter', 0.05, 'Asym', 3000, 0]	S	87	494	2356	63	6.7617	0.1497	0.58	0.238	
['RNA0', 'IPF', 0.5, 'Sym', 500, 0]	S	89	120	130	161	6.3905	0.4258	0.356	0.3878	
['RNA0', 'CVCF', 0.5, 'Asym', 300, 0]	S	23	11	139	127	3.7432	0.6765	0.1533	0.25	
['RNA0', 'CNN', 0.2, 'Asym', 300, 0]	S	19	115	125	41	11.1837	0.1418	0.3167	0.1959	
['RNA0', 'C45iteratedVotingFilter', 0.6, 'Sym', 500, 0]	S	94	116	84	206	6.4373	0.4476	0.3133	0.3686	
['RNA0', 'C45iteratedVotingFilter', 0.6, 'Asym', 500, 0]	S	106	74	126	194	5.8806	0.5889	0.3533	0.4417	
['RNA0', 'C45robustFilter', 0.5, 'Asym', 500, 0]	S	121	68	182	129	6.7019	0.6402	0.484	0.5513	
['RNA0', 'CNN', 0.6, 'Asym', 500, 0]	S	113	82	118	187	13.292	0.5795	0.3767	0.4566	
['RNA0', 'ORBoostFilter', 0.2, 'Sym', 300, 0]	S	36	73	167	24	6.5368	0.3303	0.6	0.426	
['RNA0', 'ORBoostFilter', 0.1, 'Asym', 500, 0]	S	31	102	348	19	5.4656	0.2331	0.62	0.3388	
['RNA0', 'HARF', 0.6, 'Asym', 500, 0]	S	56	29	171	244	5.3861	0.6588	0.1867	0.2909	
['RNA0', 'AENN', 0.2, 'Sym', 100, 0]	S	14	22	58	6	8.0317	0.3889	0.7	0.5	
['RNA0', 'C45votingFilter', 0.2, 'Sym', 500, 0]	S	52	51	349	48	3.8342	0.5049	0.52	0.5123	
['RNA0', 'C45iteratedVotingFilter', 0.3, 'Asym', 3000, 0]	S	565	465	1635	335	18.3973	0.5485	0.6278	0.5855	
['RNA0', 'C45votingFilter', 0.2, 'Asym', 500, 0]	S	33	55	345	67	5.383	0.375	0.33	0.3511	
['RNA0', 'ORBoostFilter', 0.6, 'Sym', 100, 0]	S	13	19	21	47	4.9975	0.4062	0.2167	0.2826	
['RNA0', 'ORBoostFilter', 0.5, 'Asym', 3000, 0]	N	0	0	1500	1500	36.2592	0.0	0.0	0.0	
['RNA0', 'C45iteratedVotingFilter', 0.4, 'Sym', 100, 0]	S	12	6	54	28	6.2612	0.6667	0.3	0.4138	
['RNA0', 'IPF', 0.2, 'Asym', 3000, 0]	S	376	479	1921	224	8.0554	0.4398	0.6267	0.5168	
['RNA0', 'ORBoostFilter', 0.3, 'Asym', 500, 0]	S	85	79	271	65	5.3259	0.5183	0.5667	0.5414	
['RNA0', 'ORBoostFilter', 0.2, 'Asym', 300, 0]	S	30	54	186	30	5.7399	0.3571	0.5	0.4167	
