['RNA1', 'CleanLab', 0.5, 'Sym', 100, 0]	S	27	21	29	23	0.642	0.5625	0.54	0.551	
['RNA1', 'CleanLab', 0.05, 'Sym', 3000, 0]	S	110	828	2022	40	5.463	0.1173	0.7333	0.2022	
['RNA1', 'CleanLab', 0.3, 'Asym', 300, 0]	S	55	62	148	35	0.7738	0.4701	0.6111	0.5314	
['RNA1', 'CleanLab', 0.5, 'Asym', 100, 0]	S	36	12	38	14	1.4735	0.75	0.72	0.7347	
['RNA1', 'CleanLab', 0.05, 'Asym', 300, 0]	S	12	109	176	3	1.3074	0.0992	0.8	0.1765	
['RNA1', 'CleanLab', 0.05, 'Sym', 500, 0]	S	16	139	336	9	1.8639	0.1032	0.64	0.1778	
['RNA1', 'CleanLab', 0.2, 'Sym', 3000, 0]	S	421	667	1733	179	5.2847	0.3869	0.7017	0.4988	
['RNA1', 'CleanLab', 0.7, 'Sym', 3000, 0]	S	946	486	414	1154	7.7622	0.6606	0.4505	0.5357	
['RNA1', 'CleanLab', 0.5, 'Sym', 300, 0]	S	85	45	105	65	1.2897	0.6538	0.5667	0.6071	
['RNA1', 'CleanLab', 0.5, 'Asym', 300, 0]	S	87	51	99	63	0.9161	0.6304	0.58	0.6042	
['RNA1', 'CleanLab', 0.5, 'Sym', 500, 0]	S	149	127	123	101	1.7346	0.5399	0.596	0.5665	
['RNA1', 'CleanLab', 0.4, 'Sym', 3000, 0]	S	800	588	1212	400	7.8781	0.5764	0.6667	0.6182	
['RNA1', 'CleanLab', 0.4, 'Asym', 3000, 0]	S	704	488	1312	496	5.3146	0.5906	0.5867	0.5886	
['RNA1', 'CleanLab', 0.7, 'Asym', 300, 0]	S	117	35	55	93	0.8068	0.7697	0.5571	0.6464	
['RNA1', 'CleanLab', 0.6, 'Asym', 3000, 0]	S	1005	369	831	795	5.2874	0.7314	0.5583	0.6333	
['RNA1', 'CleanLab', 0.1, 'Asym', 3000, 0]	S	185	713	1987	115	5.3251	0.206	0.6167	0.3088	
['RNA1', 'CleanLab', 0.3, 'Asym', 3000, 0]	S	542	587	1513	358	5.333	0.4801	0.6022	0.5343	
['RNA1', 'CleanLab', 0.1, 'Sym', 500, 0]	S	33	134	316	17	1.7406	0.1976	0.66	0.3041	
['RNA1', 'CleanLab', 0.6, 'Sym', 500, 0]	S	163	80	120	137	1.2694	0.6708	0.5433	0.6004	
['RNA1', 'CleanLab', 0.1, 'Asym', 500, 0]	S	30	151	299	20	1.2668	0.1657	0.6	0.2597	
['RNA1', 'CleanLab', 0.1, 'Asym', 300, 0]	S	19	73	197	11	0.7772	0.2065	0.6333	0.3115	
['RNA1', 'CleanLab', 0.3, 'Asym', 100, 0]	S	16	22	48	14	0.648	0.4211	0.5333	0.4706	
['RNA1', 'CleanLab', 0.6, 'Sym', 100, 0]	S	32	18	22	28	1.3668	0.64	0.5333	0.5818	
['RNA1', 'CleanLab', 0.3, 'Sym', 500, 0]	S	102	119	231	48	1.8215	0.4615	0.68	0.5499	
['RNA1', 'CleanLab', 0.05, 'Asym', 3000, 0]	S	107	768	2082	43	5.3553	0.1223	0.7133	0.2088	
['RNA1', 'CleanLab', 0.3, 'Asym', 500, 0]	S	89	106	244	61	1.232	0.4564	0.5933	0.5159	
['RNA1', 'CleanLab', 0.05, 'Sym', 100, 0]	S	3	42	53	2	0.3684	0.0667	0.6	0.12	
['RNA1', 'CleanLab', 0.3, 'Sym', 100, 0]	S	17	30	40	13	0.3707	0.3617	0.5667	0.4416	
['RNA1', 'CleanLab', 0.7, 'Asym', 3000, 0]	S	1001	343	557	1099	5.2414	0.7448	0.4767	0.5813	
['RNA1', 'CleanLab', 0.05, 'Asym', 500, 0]	S	16	140	335	9	1.0712	0.1026	0.64	0.1768	
['RNA1', 'CleanLab', 0.5, 'Asym', 500, 0]	S	134	74	176	116	1.1793	0.6442	0.536	0.5852	
['RNA1', 'CleanLab', 0.7, 'Asym', 500, 0]	S	204	44	106	146	1.9307	0.8226	0.5829	0.6823	
['RNA1', 'CleanLab', 0.05, 'Asym', 100, 0]	S	3	32	63	2	1.5734	0.0857	0.6	0.15	
['RNA1', 'CleanLab', 0.1, 'Sym', 100, 0]	S	6	38	52	4	0.3634	0.1364	0.6	0.2222	
['RNA1', 'CleanLab', 0.05, 'Sym', 1000, 0]	S	33	278	672	17	2.1479	0.1061	0.66	0.1828	
['RNA1', 'CleanLab', 0.5, 'Asym', 3000, 0]	S	912	432	1068	588	5.2141	0.6786	0.608	0.6414	
['RNA1', 'CleanLab', 0.2, 'Asym', 500, 0]	S	56	137	263	44	1.8405	0.2902	0.56	0.3823	
['RNA1', 'CleanLab', 0.3, 'Sym', 300, 0]	S	51	86	124	39	0.7558	0.3723	0.5667	0.4493	
['RNA1', 'CleanLab', 0.5, 'Sym', 1000, 0]	S	288	176	324	212	3.0683	0.6207	0.576	0.5975	
['RNA1', 'CleanLab', 0.2, 'Sym', 1000, 0]	S	127	219	581	73	2.0271	0.3671	0.635	0.4652	
['RNA1', 'CleanLab', 0.4, 'Sym', 100, 0]	S	20	23	37	20	0.3892	0.4651	0.5	0.4819	
['RNA1', 'CleanLab', 0.4, 'Sym', 500, 0]	S	120	106	194	80	1.1082	0.531	0.6	0.5634	
['RNA1', 'CleanLab', 0.7, 'Sym', 500, 0]	S	190	90	60	160	1.0451	0.6786	0.5429	0.6032	
['RNA1', 'CleanLab', 0.2, 'Sym', 500, 0]	S	65	123	277	35	1.1348	0.3457	0.65	0.4514	
['RNA1', 'CleanLab', 0.2, 'Asym', 300, 0]	S	41	86	154	19	0.7579	0.3228	0.6833	0.4385	
['RNA1', 'CleanLab', 0.05, 'Asym', 1000, 0]	S	31	269	681	19	2.1012	0.1033	0.62	0.1771	
['RNA1', 'CleanLab', 0.4, 'Asym', 500, 0]	S	113	100	200	87	1.1954	0.5305	0.565	0.5472	
['RNA1', 'CleanLab', 0.2, 'Asym', 3000, 0]	S	360	652	1748	240	5.4131	0.3557	0.6	0.4467	
['RNA1', 'CleanLab', 0.4, 'Sym', 1000, 0]	S	250	208	392	150	1.9553	0.5459	0.625	0.5828	
['RNA1', 'CleanLab', 0.2, 'Sym', 100, 0]	S	14	28	52	6	0.6407	0.3333	0.7	0.4516	
['RNA1', 'CleanLab', 0.7, 'Sym', 100, 0]	S	44	17	13	26	1.4349	0.7213	0.6286	0.6718	
['RNA1', 'CleanLab', 0.5, 'Asym', 1000, 0]	S	305	155	345	195	2.2994	0.663	0.61	0.6354	
['RNA1', 'CleanLab', 0.2, 'Asym', 100, 0]	S	13	32	48	7	0.7404	0.2889	0.65	0.4	
['RNA1', 'CleanLab', 0.7, 'Asym', 100, 0]	S	43	13	17	27	0.3943	0.7679	0.6143	0.6825	
['RNA1', 'CleanLab', 0.5, 'Sym', 3000, 0]	S	940	473	1027	560	5.4047	0.6653	0.6267	0.6454	
['RNA1', 'CleanLab', 0.1, 'Asym', 1000, 0]	S	71	225	675	29	2.2797	0.2399	0.71	0.3586	
['RNA1', 'CleanLab', 0.2, 'Sym', 300, 0]	S	40	78	162	20	1.3756	0.339	0.6667	0.4494	
