['RNA2', 'ERL', 0.4, 'Sym', 100, 0]	S	33	13	47	7	9.9242	0.7174	0.825	0.7674	{'beta': 0.6, 'plusLayers': 3, 'learningRate': 0.001, 'scaling': True, 'loss': 'ERL'}
['RNA2', 'ERL', 0.4, 'Sym', 100, 1]	S	26	10	50	14	10.7226	0.7222	0.65	0.6842	{'beta': 0.6, 'plusLayers': 3, 'learningRate': 0.001, 'scaling': True, 'loss': 'ERL'}
['RNA2', 'ERL', 0.4, 'Sym', 100, 2]	S	29	14	46	11	9.8219	0.6744	0.725	0.6988	{'beta': 0.6, 'plusLayers': 3, 'learningRate': 0.001, 'scaling': True, 'loss': 'ERL'}
['RNA2', 'ERL', 0.4, 'Sym', 100, 3]	S	34	13	47	6	11.0732	0.7234	0.85	0.7816	{'beta': 0.6, 'plusLayers': 3, 'learningRate': 0.001, 'scaling': True, 'loss': 'ERL'}
['RNA2', 'ERL', 0.4, 'Sym', 100, 4]	S	35	12	48	5	9.8791	0.7447	0.875	0.8046	{'beta': 0.6, 'plusLayers': 3, 'learningRate': 0.001, 'scaling': True, 'loss': 'ERL'}
['RNA2', 'ERL', 0.4, 'Sym', 100, 5]	S	33	15	45	7	10.7873	0.6875	0.825	0.75	{'beta': 0.6, 'plusLayers': 3, 'learningRate': 0.001, 'scaling': True, 'loss': 'ERL'}
['RNA2', 'ERL', 0.4, 'Sym', 100, 6]	S	34	12	48	6	10.1572	0.7391	0.85	0.7907	{'beta': 0.6, 'plusLayers': 3, 'learningRate': 0.001, 'scaling': True, 'loss': 'ERL'}
['RNA2', 'ERL', 0.4, 'Sym', 100, 7]	S	36	10	50	4	9.7744	0.7826	0.9	0.8372	{'beta': 0.6, 'plusLayers': 3, 'learningRate': 0.001, 'scaling': True, 'loss': 'ERL'}
['RNA2', 'ERL', 0.4, 'Sym', 100, 8]	S	33	13	47	7	9.7561	0.7174	0.825	0.7674	{'beta': 0.6, 'plusLayers': 3, 'learningRate': 0.001, 'scaling': True, 'loss': 'ERL'}
['RNA2', 'ERL', 0.4, 'Sym', 100, 9]	S	32	16	44	8	10.7369	0.6667	0.8	0.7273	{'beta': 0.6, 'plusLayers': 3, 'learningRate': 0.001, 'scaling': True, 'loss': 'ERL'}
