['RNA2', 'RFD', 0.3, 'Asym', 300, 0]	S	67	91	119	23	0.2907	0.4241	0.7444	0.5403	
['RNA2', 'RFD', 0.05, 'Sym', 100, 0]	S	3	63	32	2	0.2366	0.0455	0.6	0.0845	
['RNA2', 'RFD', 0.4, 'Asym', 100, 0]	S	28	30	30	12	0.1492	0.4828	0.7	0.5714	
['RNA2', 'RFD', 0.4, 'Sym', 300, 0]	S	98	117	63	22	0.229	0.4558	0.8167	0.5851	
['RNA2', 'RFD', 0.6, 'Asym', 3000, 0]	S	1432	805	395	368	1.766	0.6401	0.7956	0.7094	
['RNA2', 'MCS', 0.05, 'Sym', 500, 0]	S	25	235	240	0	0.7177	0.0962	1.0	0.1754	
['RNA2', 'MCS', 0.5, 'Asym', 500, 0]	S	171	79	171	79	1.0565	0.684	0.684	0.684	
['RNA2', 'IH', 0.4, 'Asym', 1000, 0]	S	342	303	297	58	3.307	0.5302	0.855	0.6545	
['RNA2', 'RFD', 0.1, 'Asym', 1000, 0]	S	93	442	458	7	0.6467	0.1738	0.93	0.2929	
['RNA2', 'RkDN', 0.4, 'Sym', 1000, 0]	S	307	352	248	93	0.0387	0.4659	0.7675	0.5798	
['RNA2', 'RFD', 0.6, 'Asym', 1000, 0]	S	492	247	153	108	0.6841	0.6658	0.82	0.7349	
['RNA2', 'PD', 0.3, 'Sym', 300, 0]	S	62	127	83	28	0.0154	0.328	0.6889	0.4444	
['RNA2', 'PD', 0.5, 'Asym', 1000, 0]	S	415	317	183	85	0.027	0.5669	0.83	0.6737	
['RNA2', 'MCS', 0.5, 'Sym', 300, 0]	S	95	64	86	55	0.5594	0.5975	0.6333	0.6149	
['RNA2', 'MCS', 0.05, 'Sym', 300, 0]	S	12	112	173	3	0.5192	0.0968	0.8	0.1727	
['RNA2', 'PD', 0.05, 'Sym', 3000, 0]	S	113	1157	1693	37	0.0524	0.089	0.7533	0.1592	
['RNA2', 'PD', 0.3, 'Asym', 300, 0]	S	62	101	109	28	0.0157	0.3804	0.6889	0.4901	
['RNA2', 'MCS', 0.05, 'Asym', 300, 0]	S	15	285	0	0	0.1465	0.05	1.0	0.0952	
['RNA2', 'IH', 0.7, 'Sym', 300, 0]	S	163	71	19	47	1.2504	0.6966	0.7762	0.7342	
['RNA2', 'MCS', 0.2, 'Sym', 3000, 0]	S	498	893	1507	102	2.4422	0.358	0.83	0.5003	
['RNA2', 'RkDN', 0.6, 'Asym', 300, 0]	S	127	62	58	53	0.0141	0.672	0.7056	0.6883	
['RNA2', 'KDN', 0.2, 'Sym', 500, 0]	S	79	211	189	21	0.0183	0.2724	0.79	0.4051	
['RNA2', 'RkDN', 0.3, 'Sym', 3000, 0]	S	728	1084	1016	172	0.3576	0.4018	0.8089	0.5369	
['RNA2', 'KDN', 0.4, 'Sym', 3000, 0]	S	1010	1101	699	190	0.3099	0.4784	0.8417	0.6101	
['RNA2', 'PD', 0.3, 'Sym', 1000, 0]	S	235	328	372	65	0.0355	0.4174	0.7833	0.5446	
['RNA2', 'FKDN', 0.1, 'Sym', 3000, 0]	S	224	887	1813	76	1.8098	0.2016	0.7467	0.3175	
['RNA2', 'KDN', 0.4, 'Asym', 3000, 0]	S	996	1058	742	204	0.2486	0.4849	0.83	0.6122	
['RNA2', 'KDN', 0.7, 'Sym', 500, 0]	S	275	116	34	75	0.0248	0.7033	0.7857	0.7422	
['RNA2', 'FKDN', 0.1, 'Asym', 3000, 0]	S	228	918	1782	72	1.4367	0.199	0.76	0.3154	
['RNA2', 'IH', 0.5, 'Asym', 3000, 0]	S	1290	966	534	210	6.9325	0.5718	0.86	0.6869	
['RNA2', 'FKDN', 0.4, 'Asym', 1000, 0]	S	252	229	371	148	0.6391	0.5239	0.63	0.5721	
['RNA2', 'IH', 0.4, 'Sym', 300, 0]	S	91	99	81	29	1.3089	0.4789	0.7583	0.5871	
['RNA2', 'MCS', 0.7, 'Asym', 300, 0]	S	125	29	61	85	0.5562	0.8117	0.5952	0.6868	
['RNA2', 'MCS', 0.4, 'Asym', 1000, 0]	S	284	196	404	116	0.8457	0.5917	0.71	0.6455	
['RNA2', 'RFD', 0.6, 'Asym', 100, 0]	S	47	22	18	13	0.2337	0.6812	0.7833	0.7287	
['RNA2', 'PD', 0.2, 'Sym', 3000, 0]	S	478	1030	1370	122	0.0392	0.317	0.7967	0.4535	
['RNA2', 'RFD', 0.1, 'Sym', 300, 0]	S	21	158	112	9	0.2098	0.1173	0.7	0.201	
['RNA2', 'MCS', 0.3, 'Asym', 100, 0]	S	25	41	29	5	0.2814	0.3788	0.8333	0.5208	
['RNA2', 'MCS', 0.4, 'Sym', 3000, 0]	S	933	655	1145	267	2.2512	0.5875	0.7775	0.6693	
['RNA2', 'FKDN', 0.6, 'Asym', 300, 0]	S	87	24	96	93	0.2172	0.7838	0.4833	0.5979	
['RNA2', 'IH', 0.6, 'Sym', 100, 0]	S	46	31	9	14	0.8314	0.5974	0.7667	0.6715	
['RNA2', 'RkDN', 0.5, 'Sym', 3000, 0]	S	1111	936	564	389	0.2803	0.5427	0.7407	0.6264	
['RNA2', 'RFD', 0.6, 'Sym', 300, 0]	S	146	92	28	34	0.2161	0.6134	0.8111	0.6986	
['RNA2', 'IH', 0.6, 'Asym', 1000, 0]	S	486	287	113	114	3.2368	0.6287	0.81	0.7079	
['RNA2', 'PD', 0.7, 'Sym', 3000, 0]	S	1633	690	210	467	0.0545	0.703	0.7776	0.7384	
['RNA2', 'FKDN', 0.6, 'Sym', 500, 0]	S	170	97	103	130	0.37	0.6367	0.5667	0.5996	
['RNA2', 'RkDN', 0.05, 'Asym', 3000, 0]	S	121	1140	1710	29	0.3562	0.096	0.8067	0.1715	
['RNA2', 'MCS', 0.05, 'Asym', 500, 0]	S	25	475	0	0	0.4027	0.05	1.0	0.0952	
['RNA2', 'MCS', 0.2, 'Sym', 300, 0]	S	53	132	108	7	0.6462	0.2865	0.8833	0.4327	
['RNA2', 'FKDN', 0.3, 'Sym', 3000, 0]	S	659	862	1238	241	1.9164	0.4333	0.7322	0.5444	
['RNA2', 'IH', 0.1, 'Asym', 1000, 0]	S	87	415	485	13	3.3787	0.1733	0.87	0.289	
['RNA2', 'PD', 0.05, 'Asym', 300, 0]	S	10	132	153	5	0.0259	0.0704	0.6667	0.1274	
['RNA2', 'FKDN', 0.3, 'Asym', 3000, 0]	S	646	810	1290	254	1.9356	0.4437	0.7178	0.5484	
['RNA2', 'FKDN', 0.1, 'Asym', 300, 0]	S	10	58	212	20	0.3125	0.1471	0.3333	0.2041	
['RNA2', 'IH', 0.1, 'Sym', 3000, 0]	S	268	1266	1434	32	10.4694	0.1747	0.8933	0.2923	
['RNA2', 'RkDN', 0.3, 'Asym', 300, 0]	S	75	100	110	15	0.0138	0.4286	0.8333	0.566	
['RNA2', 'KDN', 0.1, 'Asym', 3000, 0]	S	256	1264	1436	44	0.3223	0.1684	0.8533	0.2813	
['RNA2', 'FKDN', 0.1, 'Sym', 500, 0]	S	41	133	317	9	0.3663	0.2356	0.82	0.3661	
['RNA2', 'RkDN', 0.3, 'Sym', 500, 0]	S	125	205	145	25	0.0181	0.3788	0.8333	0.5208	
['RNA2', 'RkDN', 0.4, 'Asym', 100, 0]	S	28	17	43	12	0.0107	0.6222	0.7	0.6588	
['RNA2', 'FKDN', 0.5, 'Asym', 500, 0]	S	135	75	175	115	0.2637	0.6429	0.54	0.587	
['RNA2', 'KDN', 0.3, 'Sym', 300, 0]	S	76	108	102	14	0.0195	0.413	0.8444	0.5547	
['RNA2', 'RkDN', 0.7, 'Sym', 3000, 0]	S	1442	634	266	658	0.2476	0.6946	0.6867	0.6906	
['RNA2', 'RFD', 0.05, 'Asym', 1000, 0]	S	38	429	521	12	0.6412	0.0814	0.76	0.147	
['RNA2', 'IH', 0.6, 'Sym', 300, 0]	S	146	82	38	34	1.3633	0.6404	0.8111	0.7157	
['RNA2', 'RFD', 0.3, 'Sym', 300, 0]	S	71	132	78	19	0.2137	0.3498	0.7889	0.4846	
['RNA2', 'KDN', 0.7, 'Asym', 1000, 0]	S	576	228	72	124	0.0508	0.7164	0.8229	0.766	
['RNA2', 'RkDN', 0.7, 'Asym', 3000, 0]	S	1461	575	325	639	0.2854	0.7176	0.6957	0.7065	
